Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129
142,13.66667,11.33333,15,18.83333,15.16522,17.67391,12.82609,12.4,12,13.22727,11.14286,15.81731,11.33333,17.14056,20.42076,13,12.5,11.75,16.36478,14.97143,22,14.08,14.27273,12.88889,15.5,14.47872,52.07897,12.88,15.7871,11,12.87037,15.105,13.28571,12,14.92058,13.12,14.62712,16.5,14,12.05556,17.48387,12,13.03125,14.11321,27.02558,12,15.20805,15.87879,10.3,16.5,15.46154,14.72727,23.66016,15.28188,15.77778,11.8,14.76,16.41936,18.5,19.12718,14.81203,14.96667,15.5,16.51429,14.54545,15.91282,23.8105,14.38461,18.54875,14.5,14.17021,15.89247,16.53846,13.13636,8,14.26087,17.69787,14.88461,16.42857,15.91753,15.2449,16.36441,14.66667,15.90909,17.39451,15.3526,17.01,17.4,15.83333,17.23729,16.40541,14.71429,18.65708,17.96364,18.24274,18.375,16.60843,18.73923,16.15278,15.28,14.88889,16.14474,15.37288,14.2,12,18.47273,25.98485,16.53878,15.8,15.48113,16.92481,15.10619,18.6903,15.52475,13.11765,16.10204,16.03846,14.16,14.83333,12.09091,15.83333,14.97872,16.74096,17.15789,14.83333,14.7,14.98361,11.83333,17.65714,15.05882
143,12,13.33333,13.25,15.83333,15.26087,17.27536,12.08696,11,16,15.90909,14,15.00961,10.66667,16.45783,20.06657,17,10.85,14.25,16.42453,14.68571,21,13.86,15.27273,12.44444,16,14.37234,50.5823,13.4,15.59355,10,12.64815,15.295,14,14,14.79783,12.18,14.25424,16.5,15.66667,13.38889,17.12688,11.63636,12.875,14.54717,26.97442,11,15.53691,15.77922,13.8,15.28571,15.47436,17.36364,24.43555,15.94631,14.40741,15.3,14.6,17.03226,16.7,19.31068,14.58647,15.23333,15.62791,16.96286,16.79545,15.58974,23.53577,14,18.29252,14.3,14.08511,16.12903,14.15385,13.59091,13,14.36957,17.58723,14.82051,16.60439,16.80412,15.34694,16.33898,12.33333,15,17.14768,15.90751,16.97,17.05714,14.29167,18.22034,17.18919,16.28572,18.29926,18.10909,17.8195,18.0625,17.40361,18.60287,15.52778,14.4,16,16.65789,15.5678,13.8,13,17.98182,26.20255,17.44898,15.44,14.86792,17.18045,14.95575,18.5709,15.27723,13.41177,17.14286,16.11539,14.24,13.16667,11.54545,15,14.25532,17.06627,17.26721,14.5,14.2,14.95082,12.16667,16.84762,14.63725
144,13,11.33333,14.625,16.83333,16.30435,17.67391,13.26087,13.93333,12,13.27273,13,14.40385,12.33333,17.16064,20.24789,11,12.95,12.75,16.82076,14.94286,9,14.86,14.45455,15,10.5,14.59575,49.68792,13.8,15.51613,11,13.38889,15.44,11.71429,12.16667,15.22744,12.68,14.23164,19.25,19,13.44444,17.50753,12.27273,12.84375,14.5283,26.88491,11.5,14.95973,15.41991,12.9,15.42857,15.5641,16.81818,23.83984,16.2349,14.11111,14.5,15.56,16.90322,14.3,19.00291,15.15038,15.7,14.40698,16.50857,14.65909,14.90769,23.66286,13.61539,18.68934,14.46667,14.31915,15.31183,14.92308,14.54545,11,14.1087,17.30213,14.08974,16.25275,16.93814,15.55102,15.8983,11.33333,15.27273,17.38608,16.13295,17.415,17.58571,16.25,18.23729,17.16216,18.57143,18.8509,17.90909,18.361,19.09375,16.89759,19.01675,15.23611,15,17.22222,16.25,15.92373,12.8,12.5,18.07273,25.9386,17.43674,15.88,15.78302,17.5188,15.37168,18.41045,16.34653,12.70588,15.63265,15.30769,15.12,14.91667,12.18182,13.25,14.38298,17.46386,17.19028,16.16667,14.35,15.36885,14.66667,17.17619,14.59804
145,11,14.66667,12.75,19.83333,15.48696,17.28261,13.26087,12.66667,14,14.27273,13.14286,14.90385,13.66667,16.60241,20.2767,12,10.8,13.5,16.55031,14.8,10,14.28,13.18182,12.22222,15,14.45745,49.46242,11.8,15.78065,11,13.07407,14.895,11.28571,12.16667,15.09386,12.56,14.67232,16.75,14,14.05556,17.56344,11.54545,12.3125,14.50943,27.09719,17,15.34899,15.47186,12.8,16.64286,15.89744,15.27273,24.14063,15.03356,13.59259,12.1,12.92,16.25806,14.3,19.3534,14.57143,15.5,15.15116,16.50857,16.54545,15.16923,23.61415,13.46154,18.67347,13.91667,14,15.89247,15.69231,16.04545,12,14.19565,17.9617,14.53846,16.15385,16.4433,15.45918,16.33898,12.33333,15.54545,17.12447,15.20231,16.79,17.41429,15.75,18.37288,17.41892,14.71429,17.90628,17.54545,17.91701,17.90625,16.60843,18.79187,15.93056,16.48,14.77778,16.39474,15.37288,16,11,18.79091,26.19856,16.66122,15.64,14.86792,15.98496,14.88496,18.76866,15.09901,13.44118,15.16327,17.53846,13.6,13.91667,12.72727,15,14.95745,17.35241,16.60729,14.33333,15.4,15.22951,13,16.85714,15.54902
146,18,11.33333,16,19.5,16.0087,18.05072,13,11.93333,12,14.27273,11.28571,15.06731,12.66667,16.96787,20.38549,13.5,10.65,12.75,16.66352,14.74286,11,13.64,14.09091,11.88889,14,14.65957,49.17126,14.04,15.52903,9,13.42593,14.855,11.57143,14.83333,14.93863,12.18,14.22599,19,14.66667,13.44444,17.30323,12.72727,11.5625,16.01887,26.86701,12.5,15.43624,15.86147,11.8,13.85714,15.39744,15,23.58789,14.93289,14.48148,14.2,13.56,17.06452,14.4,19.43592,14.36842,16.16667,15.11628,16.48,15,14.86154,23.76256,14.15385,18.01134,14.73333,12.82979,16.24731,14.15385,13.77273,12,13.17391,18.00426,14.23077,16.01099,17.52577,15.86735,16.09322,14.33333,17.54545,17.6097,15.35838,16.81,16.12857,15.75,18.10169,16.83784,16,18.71565,18.2,17.57054,18.34375,16.9759,18.61723,15.09722,16.28,16.77778,16.71053,15.49153,14.4,15.5,18.52727,25.93222,16.35102,15.08,15.33962,15.96992,14.51327,18.33955,15.58416,13.64706,15.66327,16.07692,15.44,14.08333,12.45455,16.25,14.12766,16.98795,17.20648,17.16667,14.1,15.21311,13.83333,16.99048,14.63725
147,11,11.33333,14.25,16.66667,15.72174,17.75362,12.3913,12.33333,13,14.31818,12.14286,15.15385,12,17.01606,20.30005,13,12.1,14.25,16.47484,14.08571,14,13.78,14.09091,14.11111,13,15.74468,49.88678,12.84,15.44516,11,13.59259,15.71,11.28571,12.33333,15.14801,12.54,14.45198,17.75,11,12.27778,17.30323,13.09091,12.21875,14.43396,26.55243,13.5,14.89262,15.67965,11.3,15.28571,15.34615,16.54545,24.07617,14.73826,13.77778,12.4,15.24,15.96774,14.5,19.43204,14.48872,16.06667,15.13953,16.71428,15.13636,16.58974,23.82877,13.46154,18.72789,15.53333,13.93617,16.62366,14.46154,13.13636,16,13.82609,17.51489,14.48718,16.3022,16.4433,15.20408,16.18644,11.33333,15.63636,17.16667,14.89595,17.605,16.61429,16.20833,18.0339,16.7027,14.85714,18.67519,17.74545,17.62241,19.65625,17.39157,18.12679,14.94444,16.08,15,14.73684,16.50847,11.4,18.5,17.79091,25.9992,15.62857,15.4,15.59434,15.34586,15.25664,18.83955,15.73267,12.29412,16.5,16.15385,15.48,13.16667,12.09091,12.91667,14.65957,17.61446,16.76923,14,14,15.23771,11,16.4381,15.06863
148,13.66667,15.66667,13,17.83333,16.66957,17.87681,14.3913,15.8,14,14.22727,13,15.25,14.33333,16.74297,20.62543,15,14.1,12.75,16.45283,14.62857,15,14.54,16,13.22222,13,14.48936,49.53854,13.24,15.56129,17,12.5,15.075,12.85714,10.66667,15.27798,12.86,14.05085,18.375,15.33333,12.61111,17.07097,11.63636,13.90625,13.77359,26.59335,10.5,15.01342,15.2987,13.4,14.85714,16.24359,16.36364,24.16016,15.01342,14,13.3,12.92,16,14.4,19.12136,14.70677,17.76667,15.19767,16.72,14.75,15.53846,23.48935,12.15385,19.02948,14,14.21277,15.32258,14.61539,14.5,16,13.86957,17.59575,15.0641,15.70879,17.13402,15.18367,15.5,13.33333,15.81818,17.21519,14.53179,17.505,16.94286,15.08333,18.22034,16.51351,13.71429,18.76251,19.74545,18.29253,18.0625,17.09639,19.00957,15.52778,14.84,17.33333,16.73684,16.13559,12.2,12.5,18.36364,25.84689,15.6898,16.08,15.53774,16.91729,15.0531,18.81343,16.10891,15.17647,16.5102,16.19231,13.72,13.16667,14.18182,14.91667,13.6383,17.55723,16.80567,18.83333,13.5,15.77869,12,16.84286,14.82353
149,11.33333,11.33333,14,19.83333,16.12174,17.54348,13.04348,11.46667,12,14.27273,10,15.79808,13.66667,17.22088,20.18082,12.5,11.6,10,16.59748,14,17,14.18,15.09091,16,14,15.24468,48.67935,13.36,15.71613,12,12.14815,14.875,12.85714,13,14.93502,12.1,14.9887,17.875,13.33333,13.27778,17.39785,12,14.5625,16.01887,26.78772,11.5,15.4094,15.45022,14.8,16.5,16.66667,17.45455,24.4082,15.80537,13.51852,15.1,13.56,16.32258,16.1,19.35631,14.36842,14.7,15.84884,17.02286,16.06818,15.5641,24.00076,13.30769,18.55102,14.81667,14.44681,16.78495,15.46154,14.63636,14,14.34783,17.79574,14.92308,16.28572,16.92784,15.28571,16.51695,16,15.27273,17.15823,15.43931,17.615,17.82857,15.04167,18.44068,17.24324,13,18.74228,18.14545,17.96888,19.875,17.80723,18.92823,15.59722,16.16,18.77778,17.11842,16.66949,11.6,15,18.9,25.8429,15.32245,17.44,15.86792,17.18045,14.72566,18.71642,16.42574,14.67647,16.80612,17.07692,14.68,12.75,13.63636,16.91667,14.23404,17.36747,16.8664,16.16667,14.55,15.59016,12.83333,16.62381,16.09804
150,12.66667,12.33333,15.5,16.33333,16.26957,17.31159,14.52174,11.93333,15,14.77273,11.14286,14.90385,12,17.24096,20.47491,11.5,13.9,13.5,16.90881,13.65714,16,14.88,14.90909,12.77778,12,14.19149,46.96004,14.16,15.94839,13,13,15.435,17.28572,14.5,15.20217,12.36,14.57627,17.625,14,12.16667,17.76559,13,12.125,14.11321,26.76471,12,15.8255,16.25541,15.5,12.78571,16.57692,17.54545,24.05078,15.63087,14.11111,15.7,12.88,16.16129,16.4,19.71942,14.74436,15.86667,15.4186,17.12,16.59091,15.71282,23.72755,15.53846,18.6576,14.03333,14.31915,17.45161,14.69231,15.27273,14,14.15217,17.88085,14.60256,16.47802,16.38144,15.46939,16.79661,14.33333,15.27273,17.32911,14.97688,17.445,17.18571,14.25,18.16949,17.13514,15.71429,18.62939,18.72727,17.96058,19.15625,16.85542,18.38756,15.5,15.8,16.22222,16.42105,17.0678,12.6,12,18.96364,26.26396,14.91837,17.04,14.9717,16.6015,14.99115,18.81343,15.76238,13.23529,16.22449,16.11539,14.88,13.25,13.45455,13.58333,14.51064,17.68976,16.7247,15.5,14.1,15.5,14.83333,16.92381,15.62745
151,16.33333,16.66667,14.25,17.33333,15.88696,17.54348,13.56522,13.6,13,14,11.14286,15.95192,14,17.34538,20.60109,13,12.75,12,16.83648,14.14286,12,14.94,13.27273,14.11111,14.5,14.7234,46.04662,12.44,15.93548,10,12.66667,15.255,11.85714,14.66667,15.42238,12.34,14.00565,17.5,13,13.22222,17.43441,13.90909,12.96875,15.35849,26.21228,14.5,15.89262,16.22944,13.3,13,15.9359,18.27273,24.2207,15.68456,14.11111,14.7,14.76,17.19355,15.7,19.29515,14.46617,14.9,15.04651,16.43143,16.63636,15.55897,23.5898,16.07692,18.68481,14.75,13.6383,15.32258,14.15385,15.63636,17,13.19565,18.17447,15.12821,16.53846,16.38144,15.57143,16.23729,11.66667,15.45455,17.33544,15.31214,17.2,16.44286,15.5,17.55932,17.33784,13.42857,18.56443,18.23636,18.49792,18.5625,17.09036,19.15311,15.02778,17.68,16.88889,17.44737,16.51695,11,14.5,18.68182,26.02791,14.77143,15.8,14.92453,16.46617,15.62832,19.04478,16.59406,14.26471,16.53061,16.34615,15.32,13.83333,16.45455,13.83333,14.89362,17.29819,17.53846,15.66667,13.6,15.05738,11.66667,16.83333,15.05882
152,12.66667,12.33333,14.625,16.83333,15.70435,17.21014,13.52174,15.46667,15,13.09091,13,15.77885,17,17.14458,20.48584,10.5,12.35,16,16.7956,15.57143,16,13.3,16.54545,12.88889,15.5,14.47872,45.57469,12.44,15.70968,15,13.35185,15.81,12.14286,12.83333,15.90614,13.42,14.69491,18.375,13,12.88889,18.18495,13.36364,13.3125,16.07547,26.71355,13,15.90604,15.98701,12.8,14.78571,17.20513,17.27273,24.45703,15.06711,14.55556,14,14.56,17.45161,15.7,19.16796,15.14286,14.33333,14.95349,17.04857,17.22727,15.37949,24.36682,14.07692,18.48753,15.78333,14.85106,16.33333,16,14.95455,15,15.06522,17.44255,14.78205,16.65934,16.13402,15.22449,15.27966,10.33333,14.54545,17.26371,15.53757,17.73,16.5,15.25,18.49153,16.18919,14.71429,18.61022,18.16364,17.87344,17.46875,16.96386,18.97608,14.11111,14.88,18.66667,16.78947,15.69491,13.8,17,18.4,25.88437,14.93878,15.96,16.4434,16.84211,15.04425,18.58209,15.47525,14.41177,15.52041,16.11539,15.56,12.66667,11.18182,15.25,15.55319,17.22289,17.02024,19.16667,14.1,14.93443,11.83333,16.76667,14.71569
153,13.33333,10.66667,18.5,18.33333,16.16522,17.39855,14.47826,12.33333,13,15.95455,13.85714,15.47115,11.66667,17.39759,20.57924,14,11.9,13,16.39937,13.91429,15,13.82,13.09091,12.44444,19.5,14.74468,44.97241,13.24,15.54839,13,14.18519,15.275,13.28571,13,15.13718,11.92,14.40678,19.5,18.66667,12.44444,17.48602,11.54545,13.125,15.20755,27.29156,12,15.73154,16.74459,12.5,15.28571,15.97436,18.45455,24.40234,14.71141,13.85185,13.7,13.16,16.25806,16.3,19.50777,14.56391,15.1,14.80233,16.56571,16.70455,15.73846,23.73364,13.46154,18.4127,14.81667,15.42553,16.62366,15.76923,15.86364,11,14.54348,18.14042,14.96154,16.17033,16.57732,15.44898,15.44915,10.66667,16.36364,17.45148,15.35838,17.575,18.05714,15.95833,18.62712,18.62162,15.42857,18.73695,18.27273,18.68672,18.3125,17.16265,18.6244,15.81944,15.36,19.44444,17.06579,16.20339,11.6,13,18.85455,26.13158,14.68163,15.36,15.4717,15.93233,14.42478,18.99254,15.69307,13.14706,16.40816,14.92308,17.68,11.83333,11.36364,14.25,14.55319,17.40964,17.2834,16.5,14.5,15.15574,14.66667,16.9,15.85294
154,11.33333,12.33333,13.875,15.16667,15.54783,17.38406,13.6087,15.2,15,15.77273,12.28571,15,13.33333,16.73896,20.65027,14,11.8,11.5,17.08176,14.37143,21,13.88,14.27273,13.55556,12.5,14.52128,44.62321,12.32,15.76129,12,12.94444,15.63,14.14286,12,15.95307,12.86,14.0904,19.75,12,14.44444,17.61935,12.90909,13,15.03774,27.17647,15.5,16.24832,15.55411,13.6,15.5,16.75641,15.72727,23.90625,16.09396,14.51852,15.9,14.16,17.67742,15.9,19.14757,15.06767,16.56667,14.88372,16.73714,15.75,16.19487,23.89041,13,18.73016,15.3,14.61702,16.77419,15.23077,14.95455,14,14.17391,18.02553,14.64103,16.51099,17.25773,15.5102,16.12712,10,15.81818,17.0443,15.28902,17.385,16.97143,15.875,17.79661,17.45946,13.71429,18.75825,18.10909,18.65768,17.9375,16.93373,18.75359,15.86111,14.92,15.33333,17.05263,16.4661,11.2,13.5,18.38182,26.0622,15.04082,16,15.16038,16.24812,16.26549,19.06716,15.75247,13.11765,16.82653,16.26923,16.2,11.33333,12.81818,15,14.93617,17.25301,16.76923,16.66667,13.85,15.98361,13.83333,17.26667,15.38235
155,15.33333,13,12.75,16.16667,15.93044,16.81884,12.82609,11.4,14,13.72727,12.14286,15.43269,15.66667,17.05622,20.45802,15.5,12.8,11.5,16.2956,13.74286,10,13.82,13.54545,13.55556,17.5,14.42553,44.26736,11.84,15.5871,11,12.68519,16.075,13.42857,14.33333,15.4657,12.06,13.84181,17.875,14,14.38889,17.75699,13.09091,13.625,15.69811,27.12276,11.5,15.93289,16.31602,13.1,17,16.16667,20.27273,24.89063,15.77181,14.18519,14,15.32,17.74194,15.7,19.39417,15.01504,16,15.24419,16.29428,18.47727,16.1641,23.94597,14.61539,19.14966,15.9,14.93617,16.11828,15.46154,14.95455,15,13.73913,17.9234,15.4359,16.76374,17.61856,16.71428,17.02542,13,16.90909,17.73629,15.42775,17.23,17.14286,16.125,17.84746,17.47297,15.42857,18.74441,20.76364,19.07054,21.25,17.13855,19.34689,14.93056,16.48,16,17.34211,17.66102,11.4,12.5,19.51818,25.99601,14.98775,17.48,15.43396,17.01504,15.27434,19.15298,16.84158,13.70588,16.94898,16.53846,15.84,15.33333,12.72727,15.91667,15.40425,17.43072,17.49798,16,14.8,16.02459,13,17.26191,15.62745
156,15,12.66667,16,17.5,16.31304,17.36232,14.34783,15.93333,15,13.59091,13.71429,15.09615,15,17.22892,20.50919,14.5,11.5,12.5,16.62264,13.88571,11,15.2,14.18182,12,12.5,15.38298,43.7745,14.4,15.66452,10,12.77778,15.7,13.28571,11.5,15.65343,12.6,13.47458,16.25,15,12.11111,17.68172,14.09091,11.9375,15.79245,27.32992,11,16.42953,16.47619,11.3,14.85714,16.38461,19.36364,24.56055,15.89933,13.74074,16.3,14.08,18.09678,18.7,19.40874,15.78947,16.36667,15.60465,16.70857,16.13636,16.33846,23.83181,13,18.93424,15.95,15.40425,17.15054,14.69231,13.81818,20,14.80435,18.31064,14.94872,16.13187,17.41237,15.20408,16.44068,14,16.81818,17.59705,16.63006,17.41,17.8,15.875,18.08475,18.12162,14.42857,18.36741,19.36364,18.85685,19.21875,17.88554,19.09091,15.41667,15.88,16.55556,17.52632,17.28814,11.8,13,19.3,26.48724,14.6898,16.76,15.93396,17.64662,15.32743,19.76119,15.78218,14.11765,16.94898,18.26923,15.68,13,11.36364,16.25,14.17021,17.59639,17.63158,15,15.9,15.95902,13.66667,17.1381,16.03922
157,10.66667,14.33333,14.375,20.83333,16.47826,16.52899,13.65217,14.53333,15,14.86364,13,15.76923,14.33333,17.09639,20.57029,15,12.8,14,16.51258,13.77143,14,15.08,14.63636,12.66667,17,14.59575,43.72598,12.32,15.56774,11,12.64815,15.8,13.57143,16.33333,15.85199,13.34,15.0339,18.625,12.33333,13.22222,18.00215,13.63636,12.53125,15.15094,27.02813,10.5,16.55033,15.78355,12.4,14.57143,16.03846,18.45455,24.29688,15.37584,13.51852,15.3,13.32,19.80645,14.8,19.83495,15.2782,17.16667,16.37209,17.02,16.20455,16.34872,24.14231,16.46154,18.89116,16.7,16.23404,17.37634,15.61539,17,15,13.95652,17.82979,15.66667,17.08242,16.3299,16.02041,16.94915,12,20.81818,18.08017,15.69942,17.5,17.02857,15.58333,18.27119,17.5,14.57143,18.81257,20.10909,19.68465,19.65625,17.5,19.05742,15.81944,15.04,18.44444,16.43421,18.29661,11.6,15.5,19.45455,26.31818,14.62041,17.08,15.70755,16.06767,15.75221,19.72761,16.66337,14.52941,16.68367,17,17.24,14.16667,13.36364,16.75,15.19149,17.55422,16.84615,17.66667,14.05,15.40164,15.66667,16.77619,15.96078
158,15.33333,12.66667,16.875,16,15.50435,17.24638,13.82609,14.6,13,15.09091,12.28571,15.58654,20.33333,17.04819,20.56334,14.5,10.9,13.5,16.98428,13.4,10,14.58,14.27273,12.88889,15.5,15.26596,43.76879,13,15.92258,16,13.09259,16.93,12.42857,14.83333,17.22744,12.56,14.99435,18.25,19,13.5,18.32688,15.36364,14.3125,15.73585,27.24552,12.5,17.06711,15.7013,13.2,16.5,17.30769,18.63636,25.42969,16.48993,15.85185,17.9,13.44,17.90322,16.6,19.78738,16.54887,18.2,16.44186,17.21143,17.11364,17.08205,24.82648,16.15385,19.62132,18.06667,16.6383,19.36559,16.84615,15.77273,15,14.13043,19.59149,15.53846,17.74725,17.27835,16.80612,16.44915,12,18.18182,18.85443,17.05202,18.16,18.71428,16.33333,18.88136,19.10811,17.57143,18.78807,21.81818,21.94398,20.0625,18.58434,20.04306,15.69444,20,20.22222,18.43421,18.49153,12.6,11.5,20.53636,26.63317,14.45714,18,17.73585,16.65413,16.99115,19.95522,18.0198,14.52941,16.70408,17.15385,17.6,13.91667,14.09091,14.83333,14.89362,18.03614,17.68421,18.16667,14.35,15.42623,12.16667,17.25238,16.93137
159,17,16,11.375,17.33333,16.11304,17.14493,12.34783,12.6,14,13.95455,12.57143,15.32692,16.33333,17.16064,20.62792,11.5,11.2,12,17.07862,14.48571,14,14.68,14.36364,14.66667,16.5,14.46809,43.81066,11.96,15.87097,15,13.07407,18.055,9.571428,16.5,18.97473,13.12,17.50282,16.75,12,13.44444,19.05376,12.27273,13.625,15.96226,27.18159,13.5,18.10738,16.02164,12.8,15.78571,20.11539,22.18182,26.55078,18.56376,15.33333,18.6,13.92,20.06452,18.6,20.01748,17.29323,19.03333,16.94186,16.66,17.61364,17.15385,24.82496,14.53846,20.0771,17.86667,17.61702,20.82796,18.23077,15.90909,15,15.65217,20.4,17.61539,18.53846,17.72165,19.86735,17.33051,12,21.54545,20.36287,17.36994,18.44,19.02857,16.95833,21.45763,20.27027,18.28572,18.56763,26.09091,25.03734,20.25,20.89759,22.76316,17.75,17.96,22.88889,20.18421,20.77119,11.8,16,23.39091,27.67943,19.26122,20,19.12264,18.37594,17.85841,21.99627,17.64356,15.76471,18.41837,18.07692,17.92,14.66667,12.09091,16.66667,18.3617,17.46386,18.7085,19,15.35,17.06557,14.33333,17.53333,18.07843
160,14.33333,12.33333,16.125,17.16667,15.93913,17.98551,11.3913,12.6,10,17,14.28571,15.39423,14.33333,17.31727,20.40388,11.5,11.55,12.25,16.72642,14.82857,11,14.86,14.63636,12.11111,16.5,14.2766,43.18364,13.72,16.28387,11,12.59259,18.48,13.42857,12,18.90614,13.28,17.18079,16,11.66667,13.83333,18.99355,12.81818,12.40625,16.4717,27.95908,13,18.55705,15.70996,11.7,18.78572,19.16667,21.18182,26.41211,19.24832,14.7037,17.8,13.8,19.48387,19.6,19.92913,17.38346,16.76667,17.17442,16.90571,19.18182,16.9641,24.94825,15.07692,20.12472,17.55,18.17021,20.73118,20.61539,16.68182,12,15.95652,21.25957,18.11539,18.3022,16.52577,17.79592,16.92373,15.66667,19.27273,20.09283,18.13873,18.555,20.54286,16.70833,21.54237,20.7973,18.71428,18.50053,28.25455,25.33817,22.3125,20.6747,23.11962,17.44444,19.28,19.88889,19.75,19.94068,13.2,15.5,23.02727,27.94737,20.06122,18.48,19.28302,18.49624,18.13274,22.52612,18.48515,16.11765,17.85714,17.42308,17.36,14.66667,11.09091,16.83333,15.7234,17.29819,19.04453,18.83333,16.6,17.38525,13,18.42857,19.56863
161,14.66667,12.33333,13.375,14.5,15.51304,16.30435,12.56522,12.46667,14,14.22727,12.57143,14.90385,12.66667,16.5502,20.09141,16.5,12.2,16.5,16.07547,15.25714,11,15.5,13.72727,13.55556,14.5,14.74468,43.37583,12.8,16.22581,14,12.96296,18.705,12.57143,10.16667,19.59928,12.94,17.77401,18,11.33333,12.33333,19.83441,12.90909,12.8125,18.50943,27.58312,11,18.61745,16.10822,15.2,19.07143,19.91026,22.45455,26.72461,19.95973,13.37037,18.7,14.72,21.06452,18.3,20.14854,18.47368,16.43333,16.7907,17.44286,18.90909,17.54872,25.66058,16.69231,21.11565,18.76667,16.25532,21.44086,17.23077,17.36364,15,16.80435,21.06808,18.71795,18.23626,16.81443,18.21428,16.63559,11,18.63636,20.25527,17.46243,18.63,19.92857,19.875,21.05085,22.09459,18.28572,18.53248,27,25.51867,21.25,21.12651,23.49043,19.58333,18.88,17.44444,19.26316,19.88136,11.6,15.5,23.52727,27.79266,18.52245,18.08,17.68868,18.19549,18.38053,22.01119,18.16832,15.88235,18.66327,19.84615,16.36,13.5,13.09091,17.16667,16.38298,17.08434,18.25101,19.66667,18.55,18.84426,12,17.9381,19.02941
162,10.66667,12.66667,14.875,18.66667,15.42609,17.82609,13.04348,13.73333,13,13.22727,12.57143,14.5,12.33333,16.02811,20.25683,16,11.9,12.75,16.97484,14.22857,17,14.14,17.09091,13.77778,14,14.01064,43.04377,13.4,15.34839,13,12.87037,18.24,16.14286,14.16667,18.5018,13.2,17.10169,17,14,14,18.73763,12.72727,14.6875,17.32076,26.96931,13.5,19.75168,15.8658,12.3,17.5,19.71795,22.72727,26.43359,19.49664,14.66667,18.4,13.84,20.83871,18.2,20.35048,19.05263,16.73333,17.4186,16.69429,19.34091,17.14872,25.85008,14.69231,20.92517,16.05,17.12766,20.77419,19.23077,16.95455,15,17.17391,21.37872,19.85897,18.46154,17.13402,18.08163,17.11017,16,21.36364,20.65612,17.75145,19.015,20.97143,18.75,23.10169,21.05405,18.71428,18.88179,27.29091,26.22199,20.625,21.45783,24.49521,17.79167,20,17.66667,20.81579,19.83898,12.2,14,23.33636,27.90989,18.80408,17.24,18.53773,18.72932,18.0354,22.32836,17.62376,16.23529,18.77551,18.96154,19.32,12.66667,14.18182,17.08333,17.95745,18.0512,19.04858,17,17.95,18.31967,13.5,18.15238,19.89216
163,14.33333,13.66667,16.375,15,15.84348,17.30435,13.91304,14.26667,16,13.81818,13.42857,15.93269,13,17.74699,20.74665,14,11.9,12,17.11635,14.48571,11,15.02,16.45455,15.11111,13,14.81915,42.78497,14.04,16.0129,13,12.7037,18.475,15.57143,14.66667,18.35379,13.3,16.80791,17.75,15.33333,13.77778,18.75484,13.18182,14.40625,16.96227,27.01534,13,19.7651,16.61039,11.6,20.5,19.85897,24.81818,26.09961,19.41611,13.92593,18,14.88,20.58064,18.7,19.99709,18.1203,18.66667,17.02326,17.34,18.95455,17.28718,25.76027,15.76923,20.73016,18.05,17.34043,19.26882,17.23077,16.09091,14,15.56522,20.62553,19.74359,18.91758,17.5567,18.11225,17.12712,13,23.09091,20.47046,18.00578,18.43,19.78572,19.20833,22.64407,21.18919,19.71428,19.15229,27.18182,26.28008,22.53125,20.24096,24.09809,17.91667,21.04,20.55556,19.94737,19.67797,11.6,15.5,23.7,28.311,17.70612,17.6,17.74528,18.48872,17.70796,22.35075,17.47525,16.26471,19.35714,18.53846,17.16,14.25,12.09091,18.33333,17.48936,17.74096,18.64372,21.33333,16.25,18.57377,13.5,17.90952,19.34314
