"","x"
"1484",4008
"1485",1203
"1486",23077
"1487",1910
"1488",100505538
"1489",10257
"1490",5611
"1491",55757
"1492",5911
"1493",3843
"1494",23348
"1495",9375
"1496",171425
"1497",87769
"1498",283481
"1499",79070
"1500",54841
"1501",1948
"1502",55082
"1503",84945
"1504",1282
"1505",1284
"1506",55647
"1507",8874
"1508",2159
"1509",102724474
"1510",55208
"1511",55002
"1512",100506394
"1513",22821
"1514",8881
"1515",283489
"1516",85495
"1517",90809
"1518",283
"1519",6035
"1520",64745
"1521",57447
"1522",51222
"1523",11198
"1524",57680
"1525",84932
"1526",6297
"1527",5018
"1528",9056
"1529",122704
"1530",4323
"1531",5693
"1532",57594
"1533",90673
"1534",8106
"1535",51310
"1536",10278
"1537",85446
"1538",317749
"1539",728635
"1540",5106
"1541",5720
"1542",51016
"1543",55072
"1544",79711
"1545",10548
"1546",4738
"1547",7051
"1548",161424
"1549",57523
"1550",23351
"1551",56948
"1552",29091
"1553",4857
"1554",23256
"1555",1690
"1556",29966
"1557",25938
"1558",112487
"1559",394
"1560",101954278
"1561",280655
"1562",6729
"1563",283635
"1564",55012
"1565",5687
"1566",4253
"1567",644919
"1568",54813
"1569",23116
"1570",2287
"1571",161357
"1572",6235
"1573",6029
"1574",6166
"1575",4247
"1576",122773
"1577",378706
"1578",6655
"1579",27109
"1580",51062
"1581",114088
"1582",81542
"1583",54331
"1584",51637
"1585",22795
"1586",283554
"1587",30001
"1588",5706
"1589",2764
"1590",93487
"1591",100129075
"1592",645683
"1593",55745
"1594",122830
"1595",55860
"1596",5684
"1597",379025
"1598",5926
"1599",51339
"1600",23002
"1601",51528
"1602",6252
"1603",51635
"1604",145389
"1605",3091
"1606",81537
"1607",23224
"1608",9495
"1609",3306
"1610",6710
"1611",91612
"1612",376267
"1613",2530
"1614",10243
"1615",1965
"1616",57475
"1617",5283
"1618",384
"1619",23503
"1620",87
"1621",8816
"1622",2079
"1623",55334
"1624",23508
"1625",4293
"1626",22990
"1627",26094
"1628",89932
"1629",79697
"1630",641371
"1631",10965
"1632",100506476
"1633",145482
"1634",4329
"1635",91750
"1636",5826
"1637",9870
"1638",1743
"1639",97
"1640",79696
"1641",91754
"1642",10972
"1643",101928377
"1644",55640
"1645",7043
"1646",2103
"1647",57156
"1648",29954
"1649",283578
"1650",161394
"1651",63894
"1652",10598
"1653",81892
"1654",57143
"1655",9369
"1656",2957
"1657",6400
"1658",2581
"1659",161436
"1660",1112
"1661",56659
"1662",5700
"1663",801
"1664",9252
"1665",440193
"1666",10516
"1667",9321
"1668",4287
"1669",4707
"1670",53981
"1671",5641
"1672",84520
"1673",55148
"1674",78990
"1675",122509
"1676",3429
"1677",5265
"1678",5104
"1679",23405
"1680",79789
"1681",161176
"1682",51218
"1683",56967
"1684",624
"1685",51527
"1686",122481
"1687",10914
"1688",84193
"1689",317762
"1690",84439
"1691",10858
"1692",2009
"1693",51466
"1694",123096
"1695",7453
"1696",8788
"1697",3320
"1698",91833
"1699",5891
"1700",7187
"1701",9578
"1702",1152
"1703",115708
"1704",9529
"1705",84334
"1706",3831
"1707",9556
"1708",400258
"1709",122622
"1710",10572
"1711",207
"1712",256281
"1713",2972
"1714",90135
"1715",100507437
"1716",1396
"1717",283755
"1718",400322
"1719",123606
"1720",23191
"1721",114791
"1722",4692
"1723",347746
