"","ENTREZID","SYMBOL"
"113",57476,"GRAMD1B"
"114",9538,"EI24"
"115",83480,"PUS3"
"116",219833,"KCNJ5-AS1"
"117",112936,"VPS26B"
"118",57102,"C12orf4"
"119",8079,"MLF2"
"120",25977,"NECAP1"
"121",23710,"GABARAPL1"
"122",55110,"MAGOHB"
"123",79657,"RPAP3"
"124",55652,"SLC48A1"
"125",5916,"RARG"
"126",1019,"CDK4"
"127",23041,"MON2"
"128",29110,"TBK1"
"129",253827,"MSRB3"
"130",84298,"LLPH"
"131",117177,"RAB3IP"
"132",83591,"THAP2"
"133",22822,"PHLDA1"
"134",89795,"NAV3"
"135",121053,"NOPCHAP1"
"136",1407,"CRY1"
"137",51228,"GLTP"
"138",400073,"C12orf76"
"139",5564,"PRKAB1"
"140",51499,"TRIAP1"
"141",56616,"DIABLO"
"142",387893,"KMT5A"
"143",11066,"SNRNP35"
"144",102659353,"THRIL"
"145",5901,"RAN"
"146",100289635,"ZNF605"
"147",221178,"SPATA13"
"148",283537,"SLC46A3"
"149",2963,"GTF2F2"
"150",64881,"PCDH20"
"151",122060,"SLAIN1"
"152",337867,"UBAC2"
"153",3981,"LIG4"
"154",84945,"ABHD13"
"155",55647,"RAB20"
"156",3621,"ING1"
"157",102724474,"LOC102724474"
"158",253959,"RALGAPA1"
"159",54813,"KLHL28"
"160",6815,"STYX"
"161",6617,"SNAPC1"
"162",4149,"MAX"
"163",10243,"GPHN"
"164",677,"ZFP36L1"
"165",123016,"TTC8"
"166",161176,"SYNE3"
"167",51527,"GSKIP"
"168",2972,"BRF1"
"169",51234,"EMC4"
"170",22893,"BAHD1"
"171",100419583,"LOC100419583"
"172",23312,"DMXL2"
"173",9325,"TRIP4"
"174",5371,"PML"
"175",60490,"PPCDC"
"176",79631,"EFL1"
"177",100133220,"GOLGA6L3"
"178",10509,"SEMA4B"
"179",84219,"WDR24"
"180",23059,"CLUAP1"
"181",2072,"ERCC4"
"182",123811,"CEP20"
"183",91949,"COG7"
"184",79831,"KDM8"
"185",5652,"PRSS8"
"186",64282,"TENT4B"
"187",23568,"ARL2BP"
"188",29070,"CCDC113"
"189",8824,"CES2"
"190",1874,"E2F4"
"191",80152,"CENPT"
"192",6560,"SLC12A4"
"193",146198,"ZFP90"
"194",28987,"NOB1"
"195",54386,"TERF2IP"
"196",348180,"CTU2"
"197",5119,"CHMP1A"
"198",64359,"NXN"
