"","x"
"953","54994"
"954","55738"
"955","102723996"
"956","102724334"
"957","54149"
"958","54148"
"959","54069"
"960","8208"
"961","6450"
"962","5316"
"963","23308"
"964","54084"
"965","54058"
"966","529"
"967","8318"
"968","421"
"969","5902"
"970","3053"
"971","140883"
"972","51733"
"973","84700"
"974","23331"
"975","11200"
"976","150275"
"977","7494"
"978","25807"
"979","3976"
"980","91445"
"981","3985"
"982","6523"
"983","9215"
"984","4174"
"985","80020"
"986","7263"
"987","114794"
"988","3005"
"989","23464"
"990","85377"
"991","84645"
"992","80115"
"993","8398"
"994","23764"
"995","27350"
"996","140564"
"997","10478"
"998","79019"
"999","55964"
"1000","51512"
"1001","5600"
"1002","23654"
"1003","284942"
"1004","11158"
"1005","55207"
"1006","9695"
"1007","9901"
"1008","84818"
"1009","2177"
"1010","7079"
"1011","5468"
"1012","7508"
"1013","80852"
"1014","8292"
"1015","285381"
"1016","151648"
"1017","10015"
"1018","64651"
"1019","285343"
"1020","115560"
"1021","56992"
"1022","54716"
"1023","79442"
"1024","10675"
"1025","993"
"1026","51372"
"1027","646450"
"1028","54681"
"1029","2876"
"1030","6988"
"1031","386724"
"1032","7318"
"1033","10293"
"1034","11334"
"1035","9254"
"1036","1795"
"1037","29890"
"1038","7474"
"1039","201625"
"1040","8309"
"1041","57415"
"1042","8618"
"1043","56999"
"1044","9223"
"1045","131544"
"1046","22989"
"1047","57650"
"1048","29114"
"1049","10721"
"1050","3836"
"1051","64770"
"1052","84303"
"1053","4171"
"1054","79858"
"1055","11073"
"1056","339855"
"1057","668"
"1058","51122"
"1059","53836"
"1060","5912"
"1061","8833"
"1062","730091"
"1063","10051"
"1064","200916"
"1065","1894"
"1066","64393"
"1067","90407"
"1068","59343"
"1069","6434"
"1070","2119"
"1071","1608"
"1072","1974"
"1073","5984"
"1074","4026"
"1075","2257"
"1076","3280"
"1077","93109"
"1078","26043"
"1079","5062"
"1080","205564"
"1081","100507057"
"1082","2580"
"1083","57654"
"1084","10460"
"1085","10608"
"1086","55330"
"1087","64151"
"1088","57620"
"1089","5099"
"1090","386617"
"1091","132671"
"1092","26511"
"1093","10606"
"1094","57050"
"1095","22902"
"1096","92597"
"1097","1633"
"1098","8671"
"1099","9908"
"1100","80144"
"1101","4299"
"1102","51191"
"1103","6622"
"1104","93587"
"1105","1062"
"1106","79071"
"1107","55345"
"1108","287"
"1109","817"
"1110","8492"
"1111","4085"
"1112","890"
"1113","22824"
"1114","10733"
"1115","57484"
"1116","166785"
"1117","1909"
"1118","166614"
"1119","55294"
"1120","84057"
"1121","55314"
"1122","201725"
"1123","4886"
"1124","50859"
"1125","91351"
"1126","55247"
"1127","836"
"1128","79682"
"1129","256309"
"1130","8470"
"1131","205860"
"1132","10016"
"1133","116349"
"1134","100288152"
"1135","9319"
"1136","134147"
"1137","1767"
"1138","643401"
"1139","55322"
"1140","345557"
"1141","375444"
"1142","345651"
"1143","55789"
"1144","64105"
"1145","891"
"1146","64946"
"1147","6880"
"1148","57763"
"1149","345778"
"1150","7518"
"1151","84059"
"1152","100505994"
"1153","100129716"
"1154","83890"
"1155","64839"
"1156","3295"
"1157","84466"
"1158","2201"
"1159","8572"
"1160","6583"
"1161","51265"
"1162","23338"
"1163","389332"
"1164","26249"
"1165","10112"
"1166","995"
"1167","51308"
"1168","1958"
"1169","84418"
"1170","10011"
"1171","153527"
"1172","56131"
"1173","10007"
"1174","81848"
"1175","389336"
"1176","5145"
"1177","22993"
"1178","55696"
"1179","2878"
"1180","309"
"1181","10826"
"1182","134353"
"1183","7265"
"1184","10569"
"1185","9232"
"1186","134492"
"1187","3161"
"1188","5917"
"1189","6586"
"1190","54908"
"1191","64901"
"1192","100268168"
"1193","4488"
"1194","3274"
"1195","54825"
"1196","83463"
"1197","8878"
"1198","2651"
"1199","29116"
"1200","6310"
"1201","10486"
"1202","81688"
"1203","3006"
"1204","8347"
"1205","8334"
"1206","3017"
"1207","8351"
"1208","8367"
"1209","8339"
"1210","3012"
"1211","8365"
"1212","8970"
"1213","85236"
"1214","8294"
"1215","7754"
"1216","8357"
"1217","222699"
"1218","4340"
"1219","11270"
"1220","203068"
"1221","6941"
"1222","1460"
"1223","58496"
