"","samplenames","indv","drug","time","RIN","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72"
"Mi.3.24h","MCW_RM_R_44","3","Mitoxantrone","24h","8.5","10",-3.77847830435243,-16.0654321813295,-40.0844905867326,40.5799609718108,-1.39686041959944,13.8379008619256,-24.8638415324025,-39.4002140980588,-15.3822312839137,-33.6323512910069,25.8979210610403,4.20957842900546,-3.51325010405045,-3.38146008329196,-1.16391690956347,4.0248522503057,-13.4110628792893,-5.48800263386869,-2.62804233474607,9.15351681821602,9.92545038571842,1.95508413243168,-6.18733301825328,-0.393883090946603,-2.60958173768886,-4.28246171382716,-3.57342048185991,0.0612580931621574,3.87168699441339,3.60683618898975,-6.7443337341019,-8.68575676087428,1.5463816226783,12.7516129540402,-0.58744076319117,-3.59743473153359,-0.684606619134537,-6.3812050196811,-5.10739232127614,1.09421680958068,-1.63144604540954,6.45597515444783,-3.7541194120604,-6.11061708315463,11.000324155338,-3.8096673093669,4.223626776771,-2.49030316763891,-3.3031951184736,5.76397782979607,11.9858343746018,2.08162752638935,1.13059974428393,-0.897547869098928,-3.29640363780564,0.625563768718476,-0.477281678505558,-4.31432234447137,1.11767140479828,-2.78543490439512,-0.162157530097903,-1.3148256862247,-0.00739687884898116,1.30908238161122,-0.035918143306589,0.838713353918982,-0.210406942021502,-1.23167203449487,-1.05269156465516,1.47022339644146,0.0886824950766581,-1.56971400396173e-14
"Tr.3.24h","MCW_RM_R_45","3","Trastuzumab","24h","8.6","11",-54.6019214077139,-21.2440329967587,-20.5923285019683,32.472300473497,-21.2363623564244,40.8290510574005,7.38940405837884,-15.1660625713364,-9.68193808225091,-4.32063162345565,-5.83873083140663,1.6356274181559,5.52974769564429,-8.08021507386464,19.2038010062213,-1.80067431749113,-14.6414466822431,17.2552907471158,-2.21868856265319,15.7865674756608,-7.07823540168415,6.8387868082593,-13.7602549282149,-8.42324758711757,5.25971468146721,3.75234847378255,-1.67182372820564,-9.75886371252123,-5.4291922007368,1.93870797897417,-3.58287609878566,5.189395651181,4.41621851328551,-5.51774712206717,-6.65773806528827,2.47991841653971,13.818300563754,-4.68660939809029,-1.75866271630548,-1.12886352952607,8.05344755018393,3.30894425589961,10.7073700937194,-7.19347038176091,-4.6494830224032,1.13375432661725,-3.91646576727938,-0.30071551459157,-2.57630369496902,0.098137744590855,-2.48604732960229,2.75370186013721,-1.30139494751283,4.44760529942103,0.0999313730653417,-1.36395320345889,-3.53230267813543,1.45855061794026,1.86652839309679,2.14421624781655,-1.78724616642588,4.28614669996819,-1.50579453696168,1.85904104802199,1.3190401695488,1.58711413189266,-0.432497876780715,-1.28359456939411,2.1420844390576,0.198524296399271,1.23760612699674,-5.57604499682937e-15
"Ve.3.24h","MCW_RM_R_46","3","Vehicle","24h","9.3","12",-61.8284332215647,-31.7322433574052,-16.5930704988429,22.1135839003875,-11.0571800868017,38.7263087664674,16.2237270606362,-33.9027912388377,0.136790639874184,25.7083413481384,-12.0276830006875,-1.35076762106181,5.84559463157527,5.6334960078126,-5.2541277944867,19.3669947944299,-4.46082765670284,-4.31141755572451,13.0370954593875,2.78678252587912,-3.11683607832979,3.9989271328433,-14.888731144442,-1.75414808681986,10.8660805001736,0.196557776905825,2.14866511540484,3.57325025246857,7.54158636520831,8.63461033159105,-15.1924532014647,-4.59539664984083,8.05425999334088,4.72228272030604,0.2497615416335,-3.48660726185408,-10.751043114178,6.06952431092069,4.0763742766515,0.703606717114121,6.12161911789507,-8.61632383807945,-2.12782150116601,4.22402080089242,-4.26410685515677,7.66726033961926,3.88213657143414,-7.51342151978451,6.11628947559383,-0.149827099382369,-3.24900123998309,-0.400126827258819,0.0182151006718517,-0.77716087215601,0.143808539388116,1.35540282750211,0.791866747425479,-0.528551921096302,-1.0261395753704,-1.12628321277469,0.834844777133074,0.0690360622069247,-0.0999548199808962,-0.0595306347555977,0.540159882492996,-1.49331138148301,-0.423507882496881,-0.866188210643068,0.107729838377787,-0.630719736762367,-0.440216569643635,1.8125285343798e-14
"Da.4.3h","MCW_RM_R_47","4","Daunorubicin","3h","9.6","1",-27.0765222943228,54.3301033836117,53.2215887863278,2.61226254677632,25.6316314913091,-6.7942550220229,17.6028620900087,-0.334839639259607,-16.3014529199526,-3.91675928994889,-1.00817733954691,-5.72481505088115,-17.0753826695427,25.5630715517131,14.6826583951802,8.24934140026938,-12.4212629173831,-3.12523182814039,-5.76234435121136,-5.12602989516711,-1.10620067953644,1.6326592444332,-12.5415093286104,-6.69511376763114,-0.783155753721109,-2.11293047232491,3.81268362998737,-0.531598290471255,-4.37876419217516,-5.9847438260274,1.80547637070769,1.74188995702951,0.923500330553051,-3.77796682434721,1.43274152257865,-3.01977958858578,-8.12805675351522,-1.47641291319721,-2.10833485147806,-4.98020496017908,-11.0569362120202,-7.27105091385653,-2.7564721259929,-10.2471494081313,0.616108317126454,1.20125228121599,-2.34173805740147,2.78888375517473,4.85047679973514,-4.20759466906314,3.53441386986614,-0.329377029610707,5.73010607919607,3.61877177221187,-0.587011616116804,2.91462168113898,5.86061782395231,0.190525343920655,5.67506081931317,-0.888545770884308,-1.32967809691587,6.01047329664912,-6.34594378120074,-2.06403090758779,2.32152381073155,1.37099727571472,0.59817712658904,1.31836339808178,5.54877591355212,1.48623246477208,0.0190127565658287,-4.04006221651956e-14
"Do.4.3h","MCW_RM_R_48","4","Doxorubicin","3h","9.6","2",-32.5581641567605,46.0843100324972,38.6098942600051,23.0052331825257,17.6213700609122,-4.78312040040811,12.5964218777586,10.6173560847979,-24.0701195353529,0.0125939852923217,-6.08402753206342,3.0231161484527,-8.74384586810638,4.23476701838368,16.8486159601311,12.9304822896322,-0.82407947453586,-0.775492886740099,-1.44812021781867,-11.9783062647938,3.57785717657719,-5.40731624644049,-5.72979587672956,-2.74352926413536,2.61670883409851,-4.36109324192408,-5.13743271078817,0.888913545823012,2.04033525402361,3.39828049081027,1.85654664303362,2.8042436644423,-1.43011353454715,-1.54504707822605,-0.458098015382116,0.883295761487578,0.25050304179342,-0.722524437182916,-1.55653204572645,0.284372754929318,4.14103343958708,1.27973696209319,3.87656021252897,0.75311628552737,-0.334588342713093,-4.81067662199683,-0.325921508897061,-3.46698557156956,0.237992774428402,0.454737234764536,0.512907776486767,-2.30236943529605,0.875758806727439,-0.745080377118071,2.09451094324754,1.90404376237153,2.66169717065317,1.80567061845095,2.82097799959121,0.154102982007355,4.87090528605603,-4.59391683897825,2.89575001145333,6.13259501689537,0.843446318537714,4.95346711081955,15.2129565609159,0.967147822778009,-9.0412709608187,-4.16941774677664,-4.1495772939698,-7.21920124659267e-14
"Ep.4.3h","MCW_RM_R_49","4","Epirubicin","3h","9.4","3",-29.038047822636,49.311186257389,44.0448400995507,10.7762043388137,21.4026282484971,-12.4197060777559,11.9935706224498,5.99574445725668,-14.6960173531522,1.90942405751763,0.924123154205513,-2.67893716074099,-7.14648166573911,15.5675421417257,17.0803696977878,7.2693238011382,-10.2475370325009,-2.90130305848783,-2.92858019014149,-11.23749880724,3.24939833121,-1.31269558713568,-6.61825137957176,-2.50696809104288,-5.87537003540198,-5.47712917487954,4.99696571562843,0.0380674280622032,-2.18147083896025,0.342453460022461,-0.863388003452961,1.78744576340289,-1.29843224371409,2.30099718258506,-2.42816967655173,-0.32956404987935,1.00117545423805,0.175289933288205,-0.825685515337731,-1.32223004086123,0.575575267603608,0.753842939182356,2.37010991978175,-1.89638108750003,-2.90548378813513,-3.79627784028811,-0.454641471228033,2.09605244210526,5.93042181485452,3.40463989449926,1.45257947118737,4.16585330132792,-0.144806346512021,0.462546112975256,3.11057378311912,1.96135100446365,-5.24788379338506,2.85050933381015,-6.58415456636137,0.587609260761971,-1.57658124986384,-7.25012449871706,13.6335914258881,3.02228477492589,1.6499906551694,-8.8038021336021,-9.19734640675619,-0.543162734030277,1.05683620467323,0.184510454217968,-1.56096318674756,-4.37940936499123e-14
"Mi.4.3h","MCW_RM_R_50","4","Mitoxantrone","3h","9.7","4",-28.7806308271737,44.1252225785935,26.8054328038673,12.0811867828385,16.0618928256524,-6.0387769584082,7.32939988058225,12.4542219662174,-28.1266081588365,-1.34583705521809,6.27510309495529,9.13996757906115,-2.2799850902182,-3.98692119841649,8.61631274438144,2.86622243173425,3.9738714104671,-14.3071486976612,4.37363837274579,-7.62904351957283,-5.29346770742148,3.45434021211365,-3.52882283566227,-14.5057874546435,-6.37238182811089,-1.87400136945913,-3.1233885266832,1.43877839104652,-4.45143757727596,-0.0921509287737189,1.2747365127668,2.53584235571488,-2.71998825564155,-1.14899384959179,-0.971520977246587,-4.84413798688033,-0.955504945354301,2.45463767771537,-0.889387841622563,7.34250847390725,6.00380633544953,1.77963841837496,0.205683403642547,1.76265600419342,-1.34137151523219,-3.04815303361947,1.89775136872627,-6.05263304473387,-4.37608255628759,3.90977877065412,2.35705241631771,0.452014755246839,-6.10388566017261,-3.80477356019435,-0.389138268198594,-1.25409434873078,1.60582682196455,3.4260935991933,-0.934145835683913,6.17802527580492,6.05752801624423,1.32901063094127,-6.25775215370823,-7.9799643426365,-12.3182472302107,1.61271013409912,-5.17128643994706,0.134859131550658,3.03987323539269,-0.200965136346144,-2.72062054034054,-7.36706567061249e-14
"Tr.4.3h","MCW_RM_R_51","4","Trastuzumab","3h","9.9","5",-35.1538875519262,48.7394712174863,13.6264855467542,15.2328616071499,5.54393364973078,-0.83940403992225,8.86897857482051,9.35268442296791,-40.6420080522275,10.902645689872,0.73266114505631,9.63913404775064,5.07324485859331,-3.10442560576659,0.209317811705714,0.622473000625458,2.99526507183347,-3.91918266899442,-0.749901873701266,-12.5061828890188,-0.0202709899485364,-3.63125047304567,-4.66728348202274,-1.0359586375427,-0.856071418698724,1.25253382803631,-3.73190993568633,4.78377687594263,-3.49738121950272,-0.399505326906183,-1.40957551721388,1.34250267492489,-1.70569417775371,-1.36903833109484,2.50837710626942,0.123468643326265,3.14475752892944,-0.844136808928351,0.409555060358714,1.2507779007273,1.52831496671677,0.805216563804398,-0.351777790951203,4.18215833369889,2.04770696904945,0.240063790367221,-0.604506634025878,-1.6702601063087,-1.90466852602372,-2.3569735641607,-0.743200016120011,-1.54940895291482,-1.28521631103785,-2.5904999580102,-1.62033043421592,1.03500967485763,1.62158944783562,-3.35502795715496,-0.666012166436855,-0.326175864059204,1.63443214058153,-2.75029114166766,-1.32660522953852,0.350881630731704,4.07356134366098,-1.89490230500942,1.01717063716381,-4.1397314209626,-0.62112189167372,4.52456260450972,17.848860786881,-8.7902028041617e-14
"Ve.4.3h","MCW_RM_R_52","4","Vehicle","3h","10","6",-30.8036579584133,56.7488174870567,8.39595918816668,0.533580898334441,-0.470959345742011,-1.45546798639497,11.5364701099625,13.6592656737175,-44.2450497185785,5.10175686590849,1.32434853177498,3.72789002308884,6.94813605069938,0.395588282427541,-3.46157980424933,-7.30048391265769,-0.22040534451864,-7.97502442975638,-1.03124713925636,-16.4505496966761,-3.07378787975966,1.42675723482524,-3.37914394034339,1.43150988690546,-1.39759443448866,-2.24899900146684,0.944554681041553,4.815077269309,-2.20517203540759,-1.64144737794938,-4.12369200076279,-0.778668934390484,-3.13600545532415,3.43627091399936,0.470205926204251,-0.0560997989843027,5.63110419184696,0.0693940587602825,1.18449682440956,-1.87297678228548,-0.208801120180145,2.37294577271289,1.59417282206989,6.46869103431509,4.49657365241865,5.445359915542,3.29417099236119,1.08964901651026,-1.33573463292696,-6.77864491231545,-1.93956252393196,-4.41359257308527,-4.40531166892014,-1.51128554212969,-6.0317415050459,2.15899592387265,-8.71940774022649,-7.36406795708772,-0.861310768543989,-4.10324707796266,-9.36285571557522,7.77918933638729,1.74322444946182,1.03730051696423,2.239764283356,6.99727272091223,-2.72126050365191,1.30257832879049,0.576982343423358,-3.45782495632063,-5.23886505931572,-1.35329351145922e-13
"Da.4.24h","MCW_RM_R_53","4","Daunorubicin","24h","9.4","7",118.968678681849,6.99208751083289,19.9119340773211,20.3001258280582,22.5881134711439,-21.1310164518191,12.0107413745888,5.46833920977329,-18.6371946385722,25.5073075065924,-3.40074353289521,22.1501846197068,-14.8595548899596,-6.46459701634463,-8.41191426609791,3.07444480382418,-6.42069557662264,5.13492910170814,11.0843487286567,5.41529736748103,7.15207297167942,16.4416268111972,5.98056463288149,9.57995335998061,3.86995429637718,7.89794694176805,-5.64835899856477,-5.00292327606739,-1.76225076859577,0.759077278179695,-1.5038901208253,0.301303252952936,-0.0620167940096635,-5.13098677504205,-3.63649493927046,-1.72993701186475,-0.940680617811598,-2.91011033921204,3.26781429183665,2.14552106294816,1.02235191292066,-1.78943724028348,0.150296834422514,-1.19320137449484,-1.65982452742182,-1.8688240980696,4.31994363454602,1.81458133173398,-3.64154499936795,3.97128693516787,-1.40570717854497,1.78583628815412,1.51285589552553,-1.1249078027225,-0.243648183010312,4.65803306370331,2.98752863294526,0.145758269705192,-0.829109987274298,-3.67267764446601,5.77826433645332,-2.93259235418286,0.659807776867785,1.01392539611843,6.33233584337026,8.59645066379259,-7.12639823661504,10.0917295859956,-0.600013475111544,2.7541210172066,-0.191340819238498,-9.21321938011921e-14
