"sigVEP3.ENTREZID","sigVEP3.SYMBOL","sigVEP3.logFC","sigVEP3.AveExpr","sigVEP3.t","sigVEP3.P.Value","sigVEP3.adj.P.Val","sigVEP3.B"
"29998","BICRA",0.839535623191866,3.33793142066892,4.98969516854222,4.97587953949565e-06,0.00194667465095157,3.94244544019925
"55904","KMT2E",0.732082806371176,5.46776255613416,4.9773341626744,5.20961879491372e-06,0.00198303435425851,3.89460933273894
"8603","FAM193A",0.842898724727983,4.74252353852065,4.96025728905638,5.55031395149636e-06,0.00203789210934399,3.85672705934431
"6310","ATXN1",0.599340257301441,5.85668461223699,4.95398344318364,5.68088636484843e-06,0.00203789210934399,3.80585958984997
"79142","PHF23",0.522585508321601,5.74288952746455,4.94894964892611,5.78782195212721e-06,0.00203789210934399,3.79037138400875
"389677","RBM12B",1.02198478833516,4.28419672392849,4.90941315422271,6.69913207489698e-06,0.00230123356445973,3.68603858402737
"257236","CCDC96",-1.02575296770739,2.2590611856208,-4.889161945943,7.21889458291281e-06,0.00237415621819516,3.51299926945517
"7770","ZNF227",0.669425934769362,3.30245749764673,4.88804959331911,7.24855988230557e-06,0.00237415621819516,3.60016856306676
"283219","KCTD21",0.962283924725925,3.68593999705992,4.87598147853331,7.57817134904616e-06,0.00242570375636287,3.56907599414289
"51307","FAM53C",-0.780465091555424,6.45787452867587,-4.81861793803527,9.35641406703882e-06,0.00292834968267055,3.33630997241453
"4800","NFYA",0.853340901886828,4.36932982488225,4.78050717119867,1.07570482807434e-05,0.00329352756491284,3.24611967988819
"7543","ZFX",0.619551066746209,5.40827145706574,4.77222893937065,1.10873422244989e-05,0.00332242825297538,3.18821197102572
"7733","ZNF180",0.876150385272656,3.029766497182,4.70261329012664,1.42861719725976e-05,0.00411909340524142,2.96802825101124
"84441","MAML2",1.27590118643249,4.14414615042831,4.70175330766862,1.43308418671421e-05,0.00411909340524142,2.98399674061914
"25836","NIPBL",0.520300034504307,6.25010472360422,4.67585688060361,1.57416992168707e-05,0.00443412183540815,2.84416813134191
"3981","LIG4",0.605165417942464,5.20115165365685,4.66347815354803,1.64631092020955e-05,0.00454640058828066,2.82655297372482
"80205","CHD9",0.748425713292132,5.78730425804204,4.64848767414787,1.73799785754533e-05,0.00455731391092636,2.76238118769818
"57459","GATAD2B",0.708036397084369,5.02819191814826,4.64702274368793,1.74722047019163e-05,0.00455731391092636,2.77702734899554
"4092","SMAD7",0.867563588758919,5.22503482218347,4.64357231537277,1.76913195299933e-05,0.00455731391092636,2.76901211345525
"132949","AASDH",0.730814495939711,3.03178746357706,4.6419237749847,1.77969515124219e-05,0.00455731391092636,2.77850497495416
"7693","ZNF134",0.630777798045194,3.65008583210636,4.6272976239758,1.87614679159854e-05,0.00471850918087033,2.74005590261473
"23269","MGA",0.727245506566933,5.15630857832874,4.61525677712304,1.95935732606434e-05,0.00484133132987546,2.66398183377065
"117143","TADA1",0.642570801684573,3.45854298304874,4.59998928194732,2.07005133831869e-05,0.00502665569808284,2.64986771152066
"23211","ZC3H4",0.649097262431781,4.67122879109552,4.56624856411133,2.33672765960879e-05,0.00557804616236104,2.52329060881756
"54936","ADPRS",-0.396727353876212,4.98504639526538,-4.55558808978134,2.42773485303706e-05,0.00569870294502899,2.46862533348298
"147694","ZNF548",0.717407287664999,2.90712943877382,4.54099928911825,2.55788974678176e-05,0.00590579003174989,2.44621880780704
