SampleID,Drug,Conc,Percent,Name
ind5a,Doxo,0.5,0.7214151399985719,Doxorubicin
ind5a,Doxo,0.5,0.7094676449495227,Doxorubicin
ind5a,Doxo,1,0.6544580931783557,Doxorubicin
ind5a,Doxo,1,0.5193490169381952,Doxorubicin
ind5a,Doxo,1,0.490065307948819,Doxorubicin
ind5a,Doxo,1,0.37281783024194837,Doxorubicin
ind5a,Doxo,5,0.5857549704065216,Doxorubicin
ind5a,Doxo,5,0.39094980740363444,Doxorubicin
ind5a,Doxo,5,0.38444095629666447,Doxorubicin
ind5a,Doxo,10,0.4720922204043648,Doxorubicin
ind5a,Doxo,10,0.46483946985275354,Doxorubicin
ind5a,Doxo,10,0.42222355642946124,Doxorubicin
ind5a,Doxo,10,0.3881752547918887,Doxorubicin
ind5a,Doxo,50,0.04106460754918471,Doxorubicin
ind5a,Doxo,50,0.028397749209348174,Doxorubicin
ind5a,Doxo,50,0.02635506085623145,Doxorubicin
ind5a,Doxo,50,0.021935625196807293,Doxorubicin
ind5a,Epi,0.01,1.3505453825493217,Epirubicin
ind5a,Epi,0.01,1.177346369370003,Epirubicin
ind5a,Epi,0.01,0.9797269309824701,Epirubicin
ind5a,Epi,0.01,0.8490852109759052,Epirubicin
ind5a,Epi,0.05,1.097808309611323,Epirubicin
ind5a,Epi,0.05,1.0757499422978127,Epirubicin
ind5a,Epi,0.05,1.0463702221968525,Epirubicin
ind5a,Epi,0.05,1.043977753014784,Epirubicin
ind5a,Epi,0.1,0.906355918730724,Epirubicin
ind5a,Epi,0.1,0.834939005648999,Epirubicin
ind5a,Epi,0.1,0.6976248767924709,Epirubicin
ind5a,Epi,0.1,0.5567581316969253,Epirubicin
ind5a,Epi,0.5,1.097128041043747,Epirubicin
ind5a,Epi,0.5,0.7510409885805703,Epirubicin
ind5a,Epi,0.5,0.7233033596292823,Epirubicin
ind5a,Epi,0.5,0.6157908092900094,Epirubicin
ind5a,Epi,1,0.5047292330311198,Epirubicin
ind5a,Epi,1,0.5008768098185654,Epirubicin
ind5a,Epi,1,0.3338503989857558,Epirubicin
ind5a,Epi,1,0.2003792761791121,Epirubicin
ind5a,Epi,5,0.5555811316781228,Epirubicin
ind5a,Epi,5,0.41611344697294345,Epirubicin
ind5a,Epi,5,0.3916550553791075,Epirubicin
ind5a,Epi,5,0.3318265187931444,Epirubicin
ind5a,Epi,10,0.6882878285276857,Epirubicin
ind5a,Epi,10,0.6766882307911682,Epirubicin
ind5a,Epi,10,0.45800699458145083,Epirubicin
ind5a,Epi,10,0.42809540248863004,Epirubicin
ind5a,Epi,50,0,Epirubicin
ind5a,Epi,50,0,Epirubicin
ind5a,Epi,50,0,Epirubicin
ind5a,Epi,50,0,Epirubicin
ind5a,Mito,0.01,1.1126507389432057,Mitoxantrone
ind5a,Mito,0.01,1.0865161426461278,Mitoxantrone
ind5a,Mito,0.01,1.013817573640321,Mitoxantrone
ind5a,Mito,0.01,0.9742874336670496,Mitoxantrone
ind5a,Mito,0.05,1.2842372515393454,Mitoxantrone
ind5a,Mito,0.05,1.0631075792133144,Mitoxantrone
ind5a,Mito,0.05,1.0090884047144548,Mitoxantrone
ind5a,Mito,0.05,0.8370490232819019,Mitoxantrone
ind5a,Mito,0.1,0.8152003645883015,Mitoxantrone
ind5a,Mito,0.1,0.7854313058408318,Mitoxantrone
ind5a,Mito,0.1,0.7601602492766526,Mitoxantrone
ind5a,Mito,0.1,0.6059012432037137,Mitoxantrone
ind5a,Mito,0.5,0.8525779224361449,Mitoxantrone
ind5a,Mito,0.5,0.8193677938986043,Mitoxantrone
ind5a,Mito,0.5,0.8129111270480498,Mitoxantrone
ind5a,Mito,0.5,0.7739681138632979,Mitoxantrone
ind5a,Mito,1,0.5665043733952675,Mitoxantrone
ind5a,Mito,1,0.4852071636321021,Mitoxantrone
ind5a,Mito,1,0.40520119748995875,Mitoxantrone
ind5a,Mito,1,0.33525670391954226,Mitoxantrone
ind5a,Mito,5,0.0435857941508496,Mitoxantrone
ind5a,Mito,5,0.03549993020983577,Mitoxantrone
ind5a,Mito,5,0.020209762297149377,Mitoxantrone
ind5a,Mito,5,0.013759681854802175,Mitoxantrone
ind5a,Mito,10,0,Mitoxantrone
ind5a,Mito,10,0,Mitoxantrone
ind5a,Mito,10,0,Mitoxantrone
ind5a,Mito,10,0,Mitoxantrone
ind5a,Mito,50,0,Mitoxantrone
ind5a,Mito,50,0,Mitoxantrone
ind5a,Mito,50,0,Mitoxantrone
ind5a,Mito,50,0,Mitoxantrone
ind5a,Tras,0.01,1.065164552609161,Trastuzumab
ind5a,Tras,0.01,1.0282134846388908,Trastuzumab
ind5a,Tras,0.01,0.9078203194402112,Trastuzumab
ind5a,Tras,0.01,0.8468031230217345,Trastuzumab
ind5a,Tras,0.05,1.0232000019854517,Trastuzumab
ind5a,Tras,0.05,0.9574021358495622,Trastuzumab
ind5a,Tras,0.05,0.9175044858797163,Trastuzumab
ind5a,Tras,0.05,0.7217091760127664,Trastuzumab
ind5a,Tras,0.1,0.9147711254544106,Trastuzumab
ind5a,Tras,0.1,0.9068264920034339,Trastuzumab
ind5a,Tras,0.1,0.855313556537683,Trastuzumab
ind5a,Tras,0.1,0.5508314521000922,Trastuzumab
ind5a,Tras,0.5,1.1702123903569261,Trastuzumab
ind5a,Tras,0.5,0.8780912451039885,Trastuzumab
ind5a,Tras,0.5,0.8426347437524134,Trastuzumab
ind5a,Tras,0.5,0.773058972803001,Trastuzumab
ind5a,Tras,1,0.8769781490044,Trastuzumab
ind5a,Tras,1,0.8676581826704878,Trastuzumab
ind5a,Tras,1,0.8079626689963031,Trastuzumab
ind5a,Tras,1,0.6993234820962466,Trastuzumab
ind5a,Tras,5,0.9836323699025631,Trastuzumab
ind5a,Tras,5,0.9023133602862131,Trastuzumab
ind5a,Tras,5,0.8706212793883932,Trastuzumab
ind5a,Tras,5,0.7821567364649934,Trastuzumab
ind5a,Tras,10,0.9368746528976479,Trastuzumab
ind5a,Tras,10,0.9349473905408041,Trastuzumab
ind5a,Tras,10,0.9246446422406676,Trastuzumab
ind5a,Tras,10,0.9208021253921318,Trastuzumab
ind5a,Veh,0.01,1.0694109034827892,Vehicle
ind5a,Veh,0.01,1.0680666598933464,Vehicle
ind5a,Veh,0.01,1,Vehicle
ind5a,Veh,0.01,0.9552804545419021,Vehicle
ind5a,Veh,0.05,1.000967907656646,Vehicle
ind5a,Veh,0.05,1,Vehicle
ind5a,Veh,0.05,0.9964013689688804,Vehicle
ind5a,Veh,0.05,0.6202873444832986,Vehicle
ind5a,Veh,0.1,1,Vehicle
ind5a,Veh,0.1,0.8996152745540682,Vehicle
ind5a,Veh,0.1,0.7984165845283139,Vehicle
ind5a,Veh,0.1,0.7840958952020604,Vehicle
ind5a,Veh,0.5,1,Vehicle
