"sigVMT24.ENTREZID","sigVMT24.SYMBOL","sigVMT24.logFC","sigVMT24.AveExpr","sigVMT24.t","sigVMT24.P.Value","sigVMT24.adj.P.Val","sigVMT24.B"
"27112","NALF2",1.61754440553467,3.20065412813911,3.70811934157843,0.00044076546081758,0.0100124850808948,-0.557720674351252
"79719","AAGAB",-0.364343963263445,5.4911498554272,-3.70256930869673,0.000448761886689434,0.0101633249985006,-0.900251407902294
"4678","NASP",0.801224027431731,6.30640259370385,3.70250942523625,0.000448848917144799,0.0101633249985006,-0.922054783248672
"55839","CENPN",0.96044095998641,4.56094663286952,3.70109168505735,0.000450914077519117,0.0101936980221176,-0.769475695375105
"131578","LRRC15",-1.37856711526716,1.45002971012858,-3.70013954962134,0.000452306102845729,0.0102087806930757,-0.47991518737602
"341640","FREM2",1.30791535475086,5.8903168007406,3.69838340195493,0.00045488437107231,0.0102505463714919,-0.901641187611484
"101927599","ZNF529-AS1",-0.714394393733313,0.969126595535864,-3.6974098662238,0.000456319698051534,0.0102586562625108,-0.365248288339536
"7064","THOP1",0.465675101755813,5.31950804755884,3.69715170469049,0.000456701042075707,0.0102586562625108,-0.910600626747137
"7014","TERF2",-0.389712823389937,4.8457427545416,-3.6941314018914,0.000461185161307678,0.0103428850507282,-0.884869459884645
"84296","GINS4",1.45004193832454,3.0773744772756,3.69144944929916,0.000465202163183891,0.0104163867508457,-0.565328106455025
"606553","LINC02905",0.849803652058545,3.02833174599447,3.68465897400458,0.00047552280033309,0.0106106252679913,-0.677229423294905
"23225","NUP210",0.875454661693701,5.95068304877997,3.68426269452366,0.000476131795712319,0.0106106252679913,-0.970559302989009
"9121","SLC16A5",-0.7021679026308,3.65916480246756,-3.68425923341549,0.000476137117961552,0.0106106252679913,-0.733901156884115
"79077","DCTPP1",0.641477313398461,4.59894924127141,3.68309736685764,0.000477926968244814,0.0106336862887203,-0.885308070740372
"3280","HES1",-0.589983858689489,5.56376812019917,-3.68041846114309,0.000482078321556862,0.0106926452478042,-0.97733719451193
"6472","SHMT2",0.52808463849101,6.28284751905049,3.68040757166153,0.000482095266426842,0.0106926452478042,-0.991685103800583
"112703","GARIN5A",-0.6284228807386,1.58470948369065,-3.67702284009598,0.000487389812886518,0.0107930788124115,-0.497631262330184
"10016","PDCD6",-0.407823344877944,5.31743707844164,-3.67627417781063,0.000488568376449924,0.0108021931144752,-0.96696336439881
"353500","BMP8A",-1.2766023016065,0.838042763463697,-3.67530848416488,0.000490092614157076,0.0108189096830537,-0.400268150129639
"7283","TUBG1",0.386220736950426,5.53661097240755,3.67385834523984,0.000492390021737046,0.0108526151269868,-0.990894511560242
"166614","DCLK2",0.776570363748194,5.5337252117094,3.6729756563528,0.000493793465431685,0.010866542448656,-0.991537600266842
"5932","RBBP8",0.765455152875536,4.6347380035145,3.67038487947245,0.000497934788832259,0.0109405827861366,-0.890245549113146
