"","x"
"774","10380"
"775","7298"
"776","116151"
"777","55466"
"778","51281"
"779","26286"
"780","2064"
"781","3386"
"782","81890"
"783","284071"
"784","23354"
"785","81631"
"786","727866"
"787","55086"
"788","51586"
"789","88455"
"790","53349"
"791","5498"
"792","8604"
"793","115557"
"794","113189"
"795","54726"
"796","8900"
"797","56731"
"798","26043"
"799","5833"
"800","84188"
"801","84100"
"802","9693"
"803","81831"
"804","8850"
"805","10742"
"806","118424"
"807","2517"
"808","93081"
"809","7186"
"810","56603"
"811","7587"
"812","440093"
"813","26052"
"814","134218"
"815","23165"
"816","3021"
"817","4522"
"818","54894"
"819","57158"
"820","79622"
"821","9625"
"822","688"
"823","10329"
"824","107"
"825","103091865"
"826","25913"
"827","51123"
"828","128869"
"829","2261"
"830","10938"
"831","101928736"
"832","101752400"
"833","283537"
"834","54442"
"835","9973"
"836","375484"
"837","152"
"838","652968"
"839","441549"
"840","27090"
"841","2353"
"842","80775"
"843","79663"
"844","26009"
"845","140680"
"846","2535"
"847","27106"
"848","84271"
"849","155382"
"850","5889"
"851","401024"
"852","8675"
"853","1810"
"854","63971"
"855","10056"
"856","9588"
"857","678655"
"858","26073"
"859","112936"
"860","10962"
"861","29985"
"862","112812"
"863","345651"
"864","58493"
"865","91683"
"866","5585"
"867","167691"
"868","54812"
"869","54361"
"870","23244"
"871","8625"
"872","147912"
"873","81562"
"874","9883"
"875","11161"
"876","54884"
"877","6693"
"878","102723167"
"879","23259"
"880","374879"
"881","9678"
"882","56940"
"883","286499"
"884","79989"
"885","121551"
"886","11155"
"887","64284"
"888","162417"
"889","10015"
"890","26152"
"891","23263"
"892","56898"
"893","8326"
"894","100507003"
"895","83452"
"896","5366"
"897","64753"
"898","80152"
"899","3931"
"900","57179"
"901","55540"
"902","400604"
"903","100499466"
"904","90024"
"905","9542"
"906","10461"
"907","92659"
"908","196528"
"909","64793"
"910","9127"
"911","26548"
"912","387338"
"913","91768"
"914","92162"
"915","57472"
"916","285193"
"917","27074"
"918","339483"
"919","8892"
"920","200916"
"921","113878"
"922","1952"
"923","50506"
"924","730202"
"925","823"
"926","51001"
"927","10810"
"928","284029"
"929","54920"
"930","22875"
"931","9324"
"932","8798"
"933","56910"
"934","79068"
"935","140628"
"936","51193"
"937","338382"
"938","149478"
"939","6809"
"940","1050"
"941","126567"
"942","51430"
"943","55739"
"944","3181"
"945","8061"
"946","3157"
"947","168544"
"948","80155"
"949","11140"
"950","55288"
"951","200081"
"952","123722"
"953","65084"
"954","123"
"955","123879"
"956","6749"
"957","57545"
"958","90333"
"959","399818"
"960","79963"
"961","55778"
"962","23322"
"963","27005"
"964","81789"
"965","55738"
"966","84709"
"967","55703"
"968","7458"
"969","10807"
"970","84449"
"971","100129405"
"972","105369889"
"973","8325"
"974","9150"
"975","142678"
"976","10314"
"977","63920"
"978","8549"
"979","10175"
"980","10838"
"981","134553"
"982","84848"
"983","1540"
"984","254042"
"985","54472"
"986","51110"
"987","10437"
"988","60481"
"989","694"
"990","11223"
"991","79364"
"992","6522"
"993","11337"
"994","412"
"995","83733"
"996","1917"
"997","84329"
"998","441263"
"999","2941"
"1000","3383"
"1001","25940"
"1002","190"
"1003","8125"
"1004","55506"
"1005","8650"
"1006","23371"
"1007","25979"
"1008","317"
"1009","25943"
"1010","9486"
"1011","5293"
"1012","93627"
"1013","23301"
"1014","57547"
"1015","23160"
"1016","9521"
"1017","100128288"
"1018","64746"
"1019","91283"
"1020","1979"
"1021","79165"
"1022","9098"
"1023","286059"
"1024","5910"
"1025","65263"
"1026","27065"
"1027","55362"
"1028","10763"
"1029","84501"
"1030","154810"
"1031","23198"
"1032","6932"
"1033","23119"
"1034","24144"
"1035","81570"
"1036","5787"
"1037","728734"
"1038","54777"
"1039","9751"
"1040","3975"
"1041","29104"
"1042","1936"
"1043","9618"
"1044","51002"
"1045","54948"
"1046","100507057"
"1047","1739"
"1048","131870"
"1049","9842"
"1050","5494"
"1051","126070"
"1052","27445"
"1053","57821"
"1054","6654"
"1055","84705"
"1056","7216"
"1057","11060"
"1058","2218"
"1059","11040"
"1060","196074"
"1061","9941"
