"","SampleID","sDrug","Conc","Mean","indv"
"60","ind1b","VEH",1,1.00290742335041,"1"
"61","ind2a","DOX",0.01,0.859501551541305,"2"
"62","ind2a","DOX",0.05,0.968027053030732,"2"
"63","ind2a","DOX",0.1,1.02895191747355,"2"
"64","ind2a","DOX",0.5,0.889432393796786,"2"
"65","ind2a","DOX",1,0.767303457573234,"2"
"66","ind2a","EPI",0.01,0.896116891212686,"2"
"67","ind2a","EPI",0.05,0.878928632067463,"2"
"68","ind2a","EPI",0.1,0.975062197417968,"2"
"69","ind2a","EPI",0.5,0.817365748092874,"2"
"70","ind2a","EPI",1,0.69446933353998,"2"
"71","ind2a","DNR",0.01,0.94876750803374,"2"
"72","ind2a","DNR",0.05,0.857308280038485,"2"
"73","ind2a","DNR",0.1,0.838732181280258,"2"
"74","ind2a","DNR",0.5,0.772304854815312,"2"
"75","ind2a","DNR",1,0.725285329936577,"2"
"76","ind2a","MTX",0.01,0.891605459953212,"2"
"77","ind2a","MTX",0.05,0.881725621144377,"2"
"78","ind2a","MTX",0.1,1.09803377712032,"2"
"79","ind2a","MTX",0.5,0.969458236116357,"2"
"80","ind2a","MTX",1,0.818148025272253,"2"
"81","ind2a","TRZ",0.01,0.842283928608398,"2"
"82","ind2a","TRZ",0.05,0.868418699417058,"2"
"83","ind2a","TRZ",0.1,0.940823499417249,"2"
"84","ind2a","TRZ",0.5,1.01697058256198,"2"
"85","ind2a","TRZ",1,0.931766611856842,"2"
"86","ind2a","VEH",0.01,0.959932509678443,"2"
"87","ind2a","VEH",0.05,0.892607391476598,"2"
"88","ind2a","VEH",0.1,1.03475490855299,"2"
"89","ind2a","VEH",0.5,1.008112717962,"2"
"90","ind2a","VEH",1,0.963419890880824,"2"
"91","ind2b","DOX",0.01,0.978157636214991,"2"
"92","ind2b","DOX",0.05,0.906689588323859,"2"
"93","ind2b","DOX",0.1,0.831517563461973,"2"
"94","ind2b","DOX",0.5,1.02934689785765,"2"
"95","ind2b","DOX",1,0.817643831680869,"2"
"96","ind2b","EPI",0.01,1.02473347091091,"2"
"97","ind2b","EPI",0.05,0.973778885459247,"2"
"98","ind2b","EPI",0.1,0.764636427549149,"2"
"99","ind2b","EPI",0.5,1.04437585861211,"2"
"100","ind2b","EPI",1,0.646752020245241,"2"
"101","ind2b","DNR",0.01,1.15570276649612,"2"
"102","ind2b","DNR",0.05,0.977684902692202,"2"
"103","ind2b","DNR",0.1,0.754915635121902,"2"
"104","ind2b","DNR",0.5,1.03776408123863,"2"
"105","ind2b","DNR",1,0.724075302272699,"2"
"106","ind2b","MTX",0.01,0.876167816076798,"2"
"107","ind2b","MTX",0.05,1.05989077452955,"2"
"108","ind2b","MTX",0.1,0.837591960227986,"2"
"109","ind2b","MTX",0.5,1.19394794490031,"2"
"110","ind2b","MTX",1,0.757605719036151,"2"
"111","ind2b","TRZ",0.01,1.11227187615381,"2"
"112","ind2b","TRZ",0.05,0.857907822760371,"2"
"113","ind2b","TRZ",0.1,0.726352097823085,"2"
"114","ind2b","TRZ",0.5,1.15720584413173,"2"
"115","ind2b","TRZ",1,0.942448989571745,"2"
"116","ind2b","VEH",0.01,1.05130643757582,"2"
"117","ind2b","VEH",0.05,1.08633311087011,"2"
"118","ind2b","VEH",0.1,0.921800537323926,"2"
"119","ind2b","VEH",0.5,1.19347269149371,"2"
"120","ind2b","VEH",1,1.03892181253591,"2"
"121","ind3a","DOX",0.01,0.984949600507963,"3"
"122","ind3a","DOX",0.05,0.894748073705656,"3"
"123","ind3a","DOX",0.1,0.865287942242339,"3"
"124","ind3a","DOX",0.5,1.01996742527622,"3"
"125","ind3a","DOX",1,0.288324271393512,"3"
"126","ind3a","EPI",0.01,1.2897358987248,"3"
"127","ind3a","EPI",0.05,1.08575851040825,"3"
"128","ind3a","EPI",0.1,1.18752379542282,"3"
"129","ind3a","EPI",0.5,0.858490704465084,"3"
"130","ind3a","EPI",1,0.282427303972023,"3"
"131","ind3a","DNR",0.01,0.958425379649717,"3"
"132","ind3a","DNR",0.05,1.1276973811502,"3"
"133","ind3a","DNR",0.1,1.03180654850036,"3"
"134","ind3a","DNR",0.5,0.571587357485584,"3"
"135","ind3a","DNR",1,0.275294636354334,"3"
"136","ind3a","MTX",0.01,1.02527250119054,"3"
"137","ind3a","MTX",0.05,1.06401016355007,"3"
"138","ind3a","MTX",0.1,1.10040434592552,"3"
"139","ind3a","MTX",0.5,1.17529456647738,"3"
"140","ind3a","MTX",1,0.300192010208442,"3"
"141","ind3a","TRZ",0.01,1.28768883274247,"3"
"142","ind3a","TRZ",0.05,1.02016776117364,"3"
"143","ind3a","TRZ",0.1,1.04112201587772,"3"
"144","ind3a","TRZ",0.5,1.62385548267817,"3"
"145","ind3a","TRZ",1,0.528433612018997,"3"
"146","ind3a","VEH",0.01,1.16801814910842,"3"
"147","ind3a","VEH",0.05,1.00187223290805,"3"
"148","ind3a","VEH",0.1,1.12471974279792,"3"
"149","ind3a","VEH",0.5,1.15099008084988,"3"
"150","ind3a","VEH",1,0.564385868289424,"3"
"151","ind3b","DOX",0.01,0.984949600507963,"3"
"152","ind3b","DOX",0.05,0.894748073705656,"3"
"153","ind3b","DOX",0.1,0.710523192533926,"3"
"154","ind3b","DOX",0.5,0.908506973929387,"3"
"155","ind3b","DOX",1,0.444767365568579,"3"
"156","ind3b","EPI",0.01,0.798984073231388,"3"
"157","ind3b","EPI",0.05,1.18736964090269,"3"
"158","ind3b","EPI",0.1,0.975124183687648,"3"
"159","ind3b","EPI",0.5,0.655094940536883,"3"
"160","ind3b","EPI",1,0.548061181150651,"3"
