"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"289",8704,"ENSG00000117411","B4GALT2"
"290",8702,"ENSG00000121578","B4GALT4"
"291",11285,"ENSG00000027847","B4GALT7"
"292",7917,"ENSG00000229524","BAG6"
"293",55971,"ENSG00000006453","BAIAP2L1"
"294",578,"ENSG00000030110","BAK1"
"295",580,"ENSG00000138376","BARD1"
"296",10409,"ENSG00000176788","BASP1"
"297",55509,"ENSG00000123685","BATF3"
"298",29994,"ENSG00000123636","BAZ2B"
"299",27241,"ENSG00000122507","BBS9"
"300",8412,"ENSG00000137936","BCAR3"
"301",590,"ENSG00000114200","BCHE"
"302",622,"ENSG00000275544","BDH1"
"303",56898,"ENSG00000164039","BDH2"
"304",55814,"ENSG00000274803","BDP1"
"305",79656,"ENSG00000162373","BEND5"
"306",221336,"ENSG00000151917","BEND6"
"307",222389,"ENSG00000165626","BEND7"
"308",10282,"ENSG00000105829","BET1"
"309",632,"ENSG00000242252","BGLAP"
"310",23743,"ENSG00000132840","BHMT2"
"311",274,"ENSG00000136717","BIN1"
"312",55909,"ENSG00000147439","BIN3"
"313",63915,"ENSG00000188428","BLOC1S5"
"314",644,"ENSG00000106605","BLVRA"
"315",353500,"ENSG00000183682","BMP8A"
"316",658,"ENSG00000138696","BMPR1B"
"317",154743,"ENSG00000164603","BMT2"
"318",54796,"ENSG00000173068","BNC2"
"319",149428,"ENSG00000163141","BNIPL"
"320",259282,"ENSG00000038219","BOD1L1"
"321",666,"ENSG00000176720","BOK"
"322",388962,"ENSG00000163170","BOLA3"
"323",669,"ENSG00000172331","BPGM"
"324",670,"ENSG00000137274","BPHL"
"325",221927,"ENSG00000106009","BRAT1"
"326",65980,"ENSG00000028310","BRD9"
"327",25798,"ENSG00000164713","BRI3"
"328",57795,"ENSG00000198797","BRINP2"
"329",339479,"ENSG00000162670","BRINP3"
"330",148362,"ENSG00000162819","BROX"
"331",54836,"ENSG00000119411","BSPRY"
"332",149478,"ENSG00000222009","BTBD19"
"333",114781,"ENSG00000183826","BTBD9"
"334",685,"ENSG00000174808","BTC"
"335",689,"ENSG00000145741","BTF3"
"336",11120,"ENSG00000112763","BTN2A1"
"337",10385,"ENSG00000124508","BTN2A2"
"338",11119,"ENSG00000026950","BTN3A1"
"339",11118,"ENSG00000186470","BTN3A2"
"340",10384,"ENSG00000111801","BTN3A3"
"341",10917,"ENSG00000168903","BTNL3"
"342",79908,"ENSG00000113303","BTNL8"
"343",153579,"ENSG00000165810","BTNL9"
"344",154442,"ENSG00000203808","BVES-AS1"
"345",56913,"ENSG00000106392","C1GALT1"
"346",92346,"ENSG00000180999","C1orf105"
"347",54955,"ENSG00000116922","C1orf109"
"348",55732,"ENSG00000000460","C1orf112"
"349",79762,"ENSG00000162817","C1orf115"
"350",79098,"ENSG00000182795","C1orf116"
"351",148345,"ENSG00000175262","C1orf127"
"352",54991,"ENSG00000131591","C1orf159"
"353",339448,"ENSG00000198912","C1orf174"
"354",84886,"ENSG00000119280","C1orf198"
"355",127703,"ENSG00000142686","C1orf216"
