"","x"
"623","90780"
"624","101928120"
"625","6464"
"626","8751"
"627","1945"
"628","1944"
"629","1942"
"630","54344"
"631","200185"
"632","80128"
"633","4582"
"634","7059"
"635","4580"
"636","2630"
"637","2629"
"638","1196"
"639","57657"
"640","2224"
"641","55870"
"642","55249"
"643","54856"
"644","23208"
"645","6016"
"646","22889"
"647","6746"
"648","56893"
"649","9673"
"650","23381"
"651","84283"
"652","112770"
"653","4209"
"654","128240"
"655","54865"
"656","60484"
"657","1382"
"658","81875"
"659","5546"
"660","4914"
"661","375033"
"662","9826"
"663","440695"
"664","55243"
"665","912"
"666","54935"
"667","8407"
"668","93183"
"669","93185"
"670","480"
"671","844"
"672","8682"
"673","50717"
"674","1314"
"675","474338"
"676","23385"
"677","57216"
"678","55600"
"679","50848"
"680","100131187"
"681","7391"
"682","5202"
"683","4817"
"684","9191"
"685","8703"
"686","4720"
"687","336"
"688","6391"
"689","257177"
"690","3310"
"691","641311"
"692","127943"
"693","11266"
"694","22926"
"695","25903"
"696","9722"
"697","400793"
"698","127933"
"699","6675"
"700","6258"
"701","4259"
"702","223"
"703","54499"
"704","7371"
"705","117143"
"706","387597"
"707","5451"
"708","9019"
"709","25874"
"710","55827"
"711","23432"
"712","261726"
"713","375035"
"714","84832"
"715","9095"
"716","101928596"
"717","481"
"718","29922"
"719","8548"
"720","2153"
"721","92342"
"722","57147"
"723","22920"
"724","149281"
"725","92344"
"726","5396"
"727","2329"
"728","7151"
"729","23215"
"730","26052"
"731","5279"
"732","7292"
"733","100506023"
"734","100506046"
"735","60674"
"736","26802"
"737","26774"
"738","26770"
"739","692196"
"740","84614"
"741","149041"
"742","27101"
"743","63931"
"744","64326"
"745","60676"
"746","460"
"747","9462"
"748","9917"
"749","27"
"750","6646"
"751","163590"
"752","9857"
"753","5768"
"754","200058"
"755","84320"
"756","57710"
"757","2752"
"758","6041"
"759","80896"
"760","1660"
"761","3915"
"762","3918"
"763","23057"
"764","9887"
"765","10092"
"766","23179"
"767","23127"
"768","81563"
"769","6045"
"770","81627"
"771","10625"
"772","83872"
"773","7175"
"774","54953"
"775","5743"
"776","100616345"
"777","5997"
"778","51377"
"779","6738"
"780","51022"
"781","8707"
"782","343450"
"783","3075"
"784","360023"
"785","140609"
"786","2494"
"787","23271"
"788","23046"
"789","252839"
"790","7139"
"791","3898"
"792","7135"
"793","376693"
"794","149345"
"795","10440"
"796","100506696"
"797","51094"
"798","51706"
"799","92703"
"800","8497"
"801","134"
"802","1116"
"803","2331"
"804","84719"
"805","9877"
"806","100381270"
"807","6635"
"808","9580"
"809","55224"
"810","3814"
"811","22874"
"812","4194"
"813","10446"
"814","23114"
"815","5929"
"816","55220"
"817","64710"
"818","8934"
"819","284581"
"820","115019"
"821","103021295"
"822","729533"
"823","9641"
"824","83593"
"825","1939"
"826","8444"
"827","9261"
"828","55432"
"829","5362"
"830","50486"
"831","148304"
"832","3664"
"833","255928"
"834","56256"
"835","55758"
"836","7188"
"837","84791"
"838","100131205"
"839","5525"
"840","55248"
"841","29937"
"842","25936"
"843","642946"
"844","28982"
"845","79805"
"846","90806"
"847","26750"
"848","100505832"
"849","5629"
"850","5784"
"851","101929612"
"852","51133"
"853","2104"
"854","55105"
"855","728463"
"856","7042"
"857","127018"
"858","55699"
"859","25782"
"860","6791"
"861","4139"
"862","79762"
"863","3142"
"864","11221"
"865","9015"
"866","375056"
"867","64853"
"868","148362"
"869","84976"
"870","55061"
"871","824"
"872","105369195"
"873","4931"
"874","29097"
"875","127602"
"876","55740"
"877","6726"
"878","9725"
"879","29920"
"880","7044"
"881","163859"
"882","3020"
"883","83881"
"884","8476"
"885","100130093"
"886","65094"
"887","116841"
"888","79169"
"889","128308"
"890","2987"
"891","57165"
"892","200205"
"893","81559"
"894","149603"
"895","100169767"
"896","58480"
"897","5867"
"898","126731"
"899","58"
"900","27097"
"901","2590"
"902","79605"
"903","22796"
"904","183"
"905","84886"
"906","101927604"
"907","79573"
"908","64801"
"909","128061"
"910","149371"
"911","54583"
"912","7257"
"913","57568"
"914","84284"
"915","3775"
"916","388753"
"917","6894"
"918","9453"
"919","2786"
"920","1130"
"921","4811"
"922","128178"
"923","3964"
"924","55127"
"925","100130331"
"926","1131"
"927","56776"
"928","64388"
"929","2271"
"930","23596"
"931","1122"
"932","200150"
"933","731275"
"934","9859"
"935","10806"
"936","10000"
"937","10472"
"938","159"
"939","51029"
"940","116228"
"941","3192"
"942","101928068"
"943","84288"
"944","163882"
"945","25909"
"946","93474"
"947","79862"
"948","388759"
"949","7678"
"950","25893"
"951","343171"
"952","80851"
"953","79894"
"954","55657"
"955","267002"
"956","10771"
"957","22982"
"958","23560"
"959","91734"
"960","3422"
"961","22884"
"962","105"
"963","101927824"
"964","5214"
"965","1316"
"966","1645"
"967","1646"
"968","8644"
"969","10276"
"970","54906"
"971","2665"
"972","54522"
"973","84893"
"974","84991"
"975","5209"
"976","439949"
"977","57713"
"978","3698"
"979","22944"
"980","207107"
"981","9712"
"982","79746"
"983","55526"
"984","55176"
"985","11164"
"986","8872"
"987","57118"
"988","55691"
"989","51182"
"990","64421"
"991","414149"
"992","221060"
"993","10557"
"994","221061"
"995","8516"
"996","8029"
"997","1787"
"998","338596"
"999","8027"
"1000","221078"
"1001","221079"
"1002","84898"
"1003","399726"
"1004","387640"
"1005","8028"
"1006","23412"
"1007","648"
"1008","100499489"
"1009","22921"
"1010","220213"
"1011","56952"
"1012","57512"
"1013","10006"
"1014","10730"
"1015","84930"
"1016","91452"
"1017","143098"
"1018","220906"
"1019","51322"
"1020","25805"
"1021","102724316"
"1022","6840"
"1023","1326"
"1024","645954"
"1025","220929"
"1026","6935"
"1027","94134"
"1028","3799"
"1029","80314"
"1030","79741"
"1031","3688"
"1032","8453"
"1033","219771"
"1034","100288485"
"1035","57209"
"1036","219749"
"1037","7581"
"1038","158160"
"1039","285961"
"1040","399744"
"1041","441666"
"1042","100129482"
"1043","7582"
"1044","9790"
"1045","55454"
"1046","221002"
"1047","3185"
"1048","642819"
"1049","8187"
"1050","220992"
"1051","7580"
"1052","10151"
"1053","6387"
"1054","11067"
"1055","220979"
"1056","7570"
"1057","253725"
"1058","119016"
"1059","728407"
"1060","100287932"
"1061","653268"
"1062","728113"
"1063","728643"
"1064","5540"
"1065","414241"
"1066","399761"
"1067","2662"
"1068","2658"
"1069","653145"
"1070","642517"
"1071","642826"
"1072","439965"
"1073","102724593"
"1074","102724488"
"1075","100996758"
"1076","414224"
"1077","5599"
"1078","58504"
"1079","100506769"
"1080","2074"
"1081","55753"
"1082","8505"
"1083","100652748"
"1084","414189"
"1085","387680"
"1086","56624"
"1087","259230"
"1088","653308"
"1089","23283"
"1090","22943"
"1091","253430"
"1092","55847"
"1093","7321"
"1094","7019"
"1095","728640"
"1096","84457"
"1097","220963"
"1098","288"
"1099","221037"
"1100","221035"
"1101","305"
"1102","347731"
"1103","84665"
"1104","3189"
"1105","55680"
"1106","80312"
"1107","55749"
"1108","219736"
"1109","9188"
"1110","9559"
"1111","6832"
"1112","80201"
"1113","3098"
"1114","6865"
"1115","1305"
"1116","84883"
"1117","56681"
"1118","5464"
"1119","27143"
"1120","140766"
"1121","5092"
"1122","219699"
"1123","728978"
"1124","55315"
"1125","5660"
"1126","9469"
"1127","9806"
"1128","51008"
"1129","119504"
"1130","54541"
"1131","54788"
"1132","10367"
"1133","90550"
"1134","5033"
"1135","25961"
"1136","11319"
"1137","317662"
"1138","51021"
"1139","118491"
"1140","310"
"1141","118490"
"1142","159195"
"1143","58529"
"1144","79933"
"1145","729092"
"1146","729096"
"1147","2749"
"1148","9632"
"1149","118487"
"1150","8509"
"1151","818"
"1152","7414"
"1153","102723439"
"1154","23522"
"1155","51207"
"1156","7417"
"1157","118881"
"1158","84858"
"1159","100131213"
"1160","83938"
"1161","3778"
"1162","11128"
"1163","6229"
"1164","57178"
"1165","10105"
"1166","143244"
"1167","650623"
"1168","101060691"
"1169","729262"
"1170","642361"
"1171","311"
"1172","4143"
"1173","84293"
