"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"47",122553,"ENSG00000182400","TRAPPC6B"
"48",126321,"ENSG00000161091","MFSD12"
"49",126375,"ENSG00000180884","ZNF792"
"50",1305,"ENSG00000197467","COL13A1"
"51",135154,"ENSG00000154079","SDHAF4"
"52",135293,"ENSG00000146281","PM20D2"
"53",138199,"ENSG00000156017","CARNMT1"
"54",1389,"ENSG00000111269","CREBL2"
"55",139201,"ENSG00000269904","MAP2K4P1"
"56",143279,"ENSG00000165338","HECTD2"
"57",144363,"ENSG00000205707","ETFRF1"
"58",1452,"ENSG00000113712","CSNK1A1"
"59",147,"ENSG00000170214","ADRA1B"
"60",147011,"ENSG00000167525","PROCA1"
"61",147184,"ENSG00000167920","KRT10-AS1"
"62",1486,"ENSG00000117151","CTBS"
"63",149076,"ENSG00000160094","ZNF362"
"64",149473,"ENSG00000159214","CCDC24"
"65",151507,"ENSG00000224287","MSL3P1"
"66",157567,"ENSG00000186106","ANKRD46"
"67",158,"ENSG00000239900","ADSL"
"68",158234,"ENSG00000165275","TRMT10B"
"69",158257,"ENSG00000230262","LINC02603"
"70",160418,"ENSG00000139324","TMTC3"
"71",160851,"ENSG00000102780","DGKH"
"72",162962,"ENSG00000196267","ZNF836"
"73",163175,"ENSG00000153902","LGI4"
"74",164045,"ENSG00000162669","HFM1"
"75",169200,"ENSG00000180694","TMEM64"
"76",170960,"ENSG00000182903","ZNF721"
"77",1783,"ENSG00000135720","DYNC1LI2"
"78",1797,"ENSG00000224313","DXO"
"79",1797,"ENSG00000225682","DXO"
"80",1797,"ENSG00000206346","DXO"
"81",1797,"ENSG00000236765","DXO"
"82",1797,"ENSG00000234798","DXO"
"83",1797,"ENSG00000204348","DXO"
"84",1819,"ENSG00000108591","DRG2"
"85",1838,"ENSG00000138101","DTNB"
"86",19,"ENSG00000165029","ABCA1"
"87",199745,"ENSG00000161277","THAP8"
"88",199953,"ENSG00000188807","TMEM201"
"89",202051,"ENSG00000170469","SPATA24"
"90",203427,"ENSG00000077713","SLC25A43"
"91",2130,"ENSG00000182944","EWSR1"
"92",2150,"ENSG00000164251","F2RL1"
"93",219931,"ENSG00000162341","TPCN2"
"94",220929,"ENSG00000183621","ZNF438"
"95",221120,"ENSG00000166199","ALKBH3"
"96",221154,"ENSG00000165487","MICU2"
"97",221443,"ENSG00000124596","OARD1"
"98",2230,"ENSG00000137714","FDX1"
"99",2281,"ENSG00000119782","FKBP1B"
"100",23108,"ENSG00000132359","RAP1GAP2"
"101",23179,"ENSG00000143344","RGL1"
"102",23272,"ENSG00000163946","TASOR"
"103",23326,"ENSG00000124422","USP22"
"104",23483,"ENSG00000088451","TGDS"
"105",23542,"ENSG00000008735","MAPK8IP2"
"106",23548,"ENSG00000113638","TTC33"
"107",23549,"ENSG00000123992","DNPEP"
"108",24145,"ENSG00000110218","PANX1"
"109",2521,"ENSG00000089280","FUS"
"110",254228,"ENSG00000178033","CALHM5"
"111",254394,"ENSG00000111877","MCM9"
"112",2551,"ENSG00000154727","GABPA"
"113",256586,"ENSG00000140280","LYSMD2"
"114",25794,"ENSG00000186765","FSCN2"
"115",25828,"ENSG00000100348","TXN2"
"116",25842,"ENSG00000111875","ASF1A"
"117",25847,"ENSG00000129055","ANAPC13"
