"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"243",22844,"ENSG00000070601","FRMPD1"
"244",57704,"ENSG00000070610","GBA2"
"245",3340,"ENSG00000070614","NDST1"
"246",440,"ENSG00000070669","ASNS"
"247",10947,"ENSG00000070718","AP3M2"
"248",26986,"ENSG00000070756","PABPC1"
"249",10420,"ENSG00000070759","TESK2"
"250",8891,"ENSG00000070785","EIF2B3"
"251",815,"ENSG00000070808","CAMK2A"
"252",26031,"ENSG00000070882","OSBPL3"
"253",9448,"ENSG00000071054","MAP4K4"
"254",9948,"ENSG00000071127","WDR1"
"255",23161,"ENSG00000071189","SNX13"
"256",6196,"ENSG00000071242","RPS6KA2"
"257",114049,"ENSG00000071462","BUD23"
"258",28951,"ENSG00000071575","TRIB2"
"259",6596,"ENSG00000071794","HLTF"
"260",29894,"ENSG00000071894","CPSF1"
"261",79901,"ENSG00000071967","CYBRD1"
"262",5134,"ENSG00000071994","PDCD2"
"263",26469,"ENSG00000072135","PTPN18"
"264",55679,"ENSG00000072163","LIMS2"
"265",10290,"ENSG00000072195","SPEG"
"266",27125,"ENSG00000072364","AFF4"
"267",51095,"ENSG00000072756","TRNT1"
"268",6793,"ENSG00000072786","STK10"
"269",1400,"ENSG00000072832","CRMP1"
"270",2121,"ENSG00000072840","EVC"
"271",4171,"ENSG00000073111","MCM2"
"272",8626,"ENSG00000073282","TP63"
"273",6389,"ENSG00000073578","SDHA"
"274",6480,"ENSG00000073849","ST6GAL1"
"275",5522,"ENSG00000074211","PPP2R2C"
"276",2023,"ENSG00000074800","ENO1"
"277",51175,"ENSG00000074935","TUBE1"
"278",55160,"ENSG00000074964","ARHGEF10L"
"279",6717,"ENSG00000075142","SRI"
"280",8672,"ENSG00000075151","EIF4G3"
"281",10371,"ENSG00000075213","SEMA3A"
"282",10512,"ENSG00000075223","SEMA3C"
"283",119,"ENSG00000075340","ADD2"
"284",7587,"ENSG00000075407","ZNF37A"
"285",5337,"ENSG00000075651","PLD1"
"286",7879,"ENSG00000075785","RAB7A"
"287",55843,"ENSG00000075884","ARHGAP15"
"288",113457,"ENSG00000075886","TUBA3D"
"289",23016,"ENSG00000075914","EXOSC7"
"290",23609,"ENSG00000075975","MKRN2"
"291",4175,"ENSG00000076003","MCM6"
"292",25930,"ENSG00000076201","PTPN23"
"293",2329,"ENSG00000076258","FMO4"
"294",5362,"ENSG00000076356","PLXNA2"
"295",8527,"ENSG00000077044","DGKD"
"296",7155,"ENSG00000077097","TOP2B"
"297",4660,"ENSG00000077157","PPP1R12B"
"298",23032,"ENSG00000077254","USP33"
"299",1781,"ENSG00000077380","DYNC1I2"
"300",54518,"ENSG00000077420","APBB1IP"
"301",4034,"ENSG00000077454","LRCH4"
"302",88,"ENSG00000077522","ACTN2"
"303",7107,"ENSG00000077585","GPR137B"
"304",273,"ENSG00000078053","AMPH"
"305",56922,"ENSG00000078070","MCCC1"
"306",8871,"ENSG00000078269","SYNJ2"
"307",55063,"ENSG00000078487","ZCWPW1"
"308",117,"ENSG00000078549","ADCYAP1R1"
"309",4898,"ENSG00000078618","NRDC"
"310",5108,"ENSG00000078674","PCM1"
"311",51661,"ENSG00000079150","FKBP7"
"312",7520,"ENSG00000079246","XRCC5"
"313",56925,"ENSG00000079257","LXN"
"314",11262,"ENSG00000079263","SP140"
"315",8569,"ENSG00000079277","MKNK1"
"316",8556,"ENSG00000079335","CDC14A"
"317",2222,"ENSG00000079459","FDFT1"
"318",10590,"ENSG00000079689","SCGN"
"319",55604,"ENSG00000079691","CARMIL1"
"320",1653,"ENSG00000079785","DDX1"
"321",22999,"ENSG00000079841","RIMS1"
"322",26002,"ENSG00000079931","MOXD1"
"323",8417,"ENSG00000079950","STX7"
"324",55510,"ENSG00000080007","DDX43"
"325",6344,"ENSG00000080293","SCTR"
"326",55183,"ENSG00000080345","RIF1"
"327",4850,"ENSG00000080802","CNOT4"
"328",56650,"ENSG00000080822","CLDND1"
"329",54665,"ENSG00000081019","RSBN1"
"330",2920,"ENSG00000081041","CXCL2"
"331",1286,"ENSG00000081052","COL4A4"
"332",6932,"ENSG00000081059","TCF7"
"333",4208,"ENSG00000081189","MEF2C"
"334",9262,"ENSG00000081320","STK17B"
"335",9812,"ENSG00000081791","DELE1"
"336",93664,"ENSG00000081803","CADPS2"
"337",55437,"ENSG00000082146","STRADB"
"338",905,"ENSG00000082258","CCNT2"
"339",7188,"ENSG00000082512","TRAF5"
"340",23033,"ENSG00000083097","DOP1A"
"341",57226,"ENSG00000083099","LYRM2"
"342",79670,"ENSG00000083223","TUT7"
"343",2195,"ENSG00000083857","FAT1"
"344",25978,"ENSG00000083937","CHMP2B"
"345",10450,"ENSG00000084072","PPIE"
"346",84273,"ENSG00000084092","NOA1"
"347",5978,"ENSG00000084093","REST"
"348",338,"ENSG00000084674","APOB"
"349",8648,"ENSG00000084676","NCOA1"
"350",22979,"ENSG00000084710","EFR3B"
