"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"192",6507,"ENSG00000079215","SLC1A3"
"193",7145,"ENSG00000079308","TNS1"
"194",5236,"ENSG00000079739","PGM1"
"195",131544,"ENSG00000080200","CRYBG3"
"196",8671,"ENSG00000080493","SLC4A4"
"197",3781,"ENSG00000080709","KCNN2"
"198",1371,"ENSG00000080819","CPOX"
"199",260425,"ENSG00000081026","MAGI3"
"200",57092,"ENSG00000081154","PCNP"
"201",79876,"ENSG00000081307","UBA5"
"202",65094,"ENSG00000081692","JMJD4"
"203",11266,"ENSG00000081721","DUSP12"
"204",56131,"ENSG00000081818","PCDHB4"
"205",51668,"ENSG00000081870","HSPB11"
"206",55100,"ENSG00000082068","WDR70"
"207",9689,"ENSG00000082153","BZW1"
"208",55322,"ENSG00000082213","C5orf22"
"209",57579,"ENSG00000082269","FAM135A"
"210",1310,"ENSG00000082293","COL19A1"
"211",22837,"ENSG00000082438","COBLL1"
"212",29093,"ENSG00000082515","MRPL22"
"213",25929,"ENSG00000082516","GEMIN5"
"214",54437,"ENSG00000082684","SEMA5B"
"215",2932,"ENSG00000082701","GSK3B"
"216",3693,"ENSG00000082781","ITGB5"
"217",7514,"ENSG00000082898","XPO1"
"218",11342,"ENSG00000082996","RNF13"
"219",3842,"ENSG00000083312","TNPO1"
"220",5351,"ENSG00000083444","PLOD1"
"221",5019,"ENSG00000083720","OXCT1"
"222",91746,"ENSG00000083896","YTHDC1"
"223",64744,"ENSG00000084070","SMAP2"
"224",10269,"ENSG00000084073","ZMPSTE24"
"225",56910,"ENSG00000084090","STARD7"
"226",8668,"ENSG00000084623","EIF3I"
"227",1307,"ENSG00000084636","COL16A1"
"228",200081,"ENSG00000084652","TXLNA"
"229",60509,"ENSG00000084693","AGBL5"
"230",10890,"ENSG00000084733","RAB10"
"231",3030,"ENSG00000084754","HADHA"
"232",102157402,"ENSG00000085231","AK6"
"233",55892,"ENSG00000085274","MYNN"
"234",2122,"ENSG00000085276","MECOM"
"235",9522,"ENSG00000085365","SCAMP1"
"236",57590,"ENSG00000085449","WDFY1"
"237",4528,"ENSG00000085760","MTIF2"
"238",4998,"ENSG00000085840","ORC1"
"239",55054,"ENSG00000085978","ATG16L1"
"240",55624,"ENSG00000085998","POMGNT1"
"241",27292,"ENSG00000086189","DIMT1"
"242",51194,"ENSG00000086200","IPO11"
"243",55696,"ENSG00000086589","RBM22"
"244",8310,"ENSG00000087008","ACOX3"
"245",6452,"ENSG00000087266","SH3BP2"
"246",8602,"ENSG00000087269","NOP14"
"247",5775,"ENSG00000088179","PTPN4"
"248",55287,"ENSG00000088726","TMEM40"
"249",64147,"ENSG00000088727","KIF9"
"250",57060,"ENSG00000090097","PCBP4"
"251",51726,"ENSG00000090520","DNAJB11"
"252",8646,"ENSG00000090539","CHRD"
"253",84196,"ENSG00000090686","USP48"
"254",55763,"ENSG00000090989","EXOC1"
"255",54439,"ENSG00000091009","RBM27"
"256",58484,"ENSG00000091106","NLRC4"
"257",54918,"ENSG00000091317","CMTM6"
"258",3655,"ENSG00000091409","ITGA6"
"259",51776,"ENSG00000091436","MAP3K20"
"260",2271,"ENSG00000091483","FH"
"261",55573,"ENSG00000091527","CDV3"
"262",4345,"ENSG00000091972","CD200"
"263",57556,"ENSG00000092421","SEMA6A"
"264",26227,"ENSG00000092621","PHGDH"
"265",7042,"ENSG00000092969","TGFB2"
"266",55105,"ENSG00000092978","GPATCH2"
"267",9209,"ENSG00000093167","LRRFIP2"
"268",8697,"ENSG00000094880","CDC23"
"269",4214,"ENSG00000095015","MAP3K1"
