"","V1","V2","V3","V4"
"339453",1.71731497520607e-10,0.00350638877986441,3.78724502715352e-10,0.99649361066968
"29101",0.999118112595621,2.61590520288582e-07,0.000242748467303258,0.000638877346555118
"643988",0.112724722650567,0.000341519917252763,2.83843679690832e-05,0.886905373064211
"142678",1.34657094247251e-08,0.000958086377488216,3.15763547118683e-10,0.999041899841039
"8510",0.96219150935268,7.18337037757523e-05,0.001096484904286,0.036640172039258
"984",0.996697900308523,4.47675080799896e-06,0.00170987899610813,0.00158774394456132
"728661",0.0663041378024401,0.00075595716315347,3.44462752964779e-05,0.93290545875911
"8511",0.928946274219509,4.09752862918681e-05,0.000331864956382971,0.0706808855378162
"728642",0.979292223392384,0.00010990418411778,0.00414721153507605,0.0164506608884227
"9906",0.981191187779382,1.12664124770529e-05,0.000364468614935443,0.0184330771932058
"65220",0.872923608973166,3.87398765460598e-05,0.000244931213687501,0.1267927199366
"2782",0.997115091674448,7.55315340325922e-07,0.000167146115047974,0.00271700689516372
"339456",2.13150374739051e-12,0.95566650470531,4.87707385745843e-08,0.0443334465218202
"5590",2.12822642026165e-08,0.000485686177193933,2.40204349009121e-10,0.999514292300338
"100506504",0.0606733754031153,0.438320818953084,0.035466008748529,0.465539796895272
"199990",0.996456799851968,4.97984167572096e-06,0.00145979214617115,0.00207842816018527
"6497",0.000825145692397676,0.619251893779035,0.00113303644717398,0.378789924081393
"79906",0.644462119991737,0.000135355177225211,0.000416201312947093,0.354986323518091
"11079",0.990829422686812,3.47079668654056e-05,0.00395552407198881,0.00518034527433332
"5192",0.995088976448492,4.64455449670594e-06,0.0013100541246185,0.00359632487239284
"55229",0.860085198528786,0.000451517198975255,0.00171876471060739,0.137744519561631
"127281",2.4128711221203e-11,0.000321574191006637,1.95162172385404e-11,0.999678425765348
"440556",0.999152934296565,2.09455135137503e-07,0.000190118055476383,0.00065673819282378
"63976",0.000324355855826377,0.0188805234506465,4.77201100832819e-06,0.980790348682519
"27237",0.997050919353711,8.23857903183454e-07,0.00017468040850798,0.00277357637987803
"1953",0.997262389126704,3.28584544668734e-06,0.00133563308044331,0.00139869194740578
"127262",0.999346179602374,1.42191136439667e-07,0.000170589632154293,0.000483088574335929
"49856",0.0591728241338049,0.0253357674646821,0.00138476930748002,0.914106639094033
"57212",0.994726044977365,4.61065543225481e-06,0.00475033560475739,0.00051900876244553
"148870",0.993624836063111,5.53214283833936e-06,0.000541038094892369,0.00582859369915837
"388588",1.80300079721558e-07,0.000394338722655267,9.63319629527915e-10,0.999605480013945
"57470",0.855305560723879,0.00787490982316221,0.0439953699035462,0.0928241595494126
"9731",0.995070963582376,1.35354897820726e-06,0.000173670575411654,0.00475401229323414
"1677",0.937598098461507,0.00168971182749392,0.0370421026805148,0.0236700870304846
"339448",0.4630827735173,0.00353499702910118,0.00184138072644488,0.531540848727154
"261734",0.0678884138912389,0.000565746533278034,3.9932827453656e-05,0.931505906748029
"8514",0.00504007050056336,0.133694012077871,0.000518345924267423,0.860747571497299
"6146",0.999116622403217,1.99417722400841e-07,0.000162412846719088,0.000720765332341145
"102724450",0.971856981811183,1.12172719070922e-05,0.000229050923176301,0.0279027499937333
"388591",4.81506284818326e-11,0.000335036666569509,2.94116583769775e-11,0.999664963255868
"23463",0.998271818861265,9.61750625897613e-07,0.000415416459543212,0.00131180292856578
"387509",1.08369825680141e-08,0.00362856371023755,1.42486868992735e-09,0.996371424027911
"11332",0.0367790398485066,0.000281321730868099,7.25872743319586e-06,0.962932379693192
"83715",6.12119676975179e-11,0.00080768863650482,6.90364367580093e-11,0.999192311233247
"8718",0.997291586416702,2.64646988755013e-06,0.00075866033179187,0.00194710678161823
"57449",0.999256098590609,1.73552366530405e-07,0.000175974994430495,0.000567752862594008
"79707",0.998510482243137,9.20942433793078e-07,0.000569545053615538,0.000919051760813418
"3104",0.980313829379208,3.06548574597258e-05,0.00125773441166336,0.0183977813516693
"9903",0.99781242084782,1.26496132930178e-06,0.00177089305259382,0.000415421138257291
"148479",0.864903807180867,0.00016486493472473,0.134327934561348,0.000603393323060136
"90326",0.0066179488259768,0.00692842389863495,0.986428989543711,2.4637731677197e-05
"55735",0.994203610192076,1.14324490390306e-05,0.00143342132845955,0.00435153603042503
"23261",0.999448388030983,1.10728908104766e-07,0.000165053745682909,0.000386447494426592
"9341",0.000223674978112983,0.000239615979473319,9.37181186193468e-08,0.999536615324295
"8863",2.08007026111683e-07,0.000493738353613024,1.61721062645938e-09,0.99950605202215
"3604",0.995407414202472,1.24428540268104e-06,0.000168365392857499,0.00442297611926757
"11315",0.998498652491126,7.04603232427187e-07,0.000362931824930226,0.00113771108071178
"54206",0.996965964788849,3.82696468292211e-06,0.00143492657574055,0.00159528167072752
"50651",0.00268320651813775,0.000853007423380085,2.76261772365147e-06,0.996461023440758
"473",0.102693306638362,0.000844676665989089,0.896412386186578,4.96305090710415e-05
"2023",0.98428295475242,4.78608017464824e-05,0.0137128574263861,0.00195632701944776
"80045",0.95926412068553,9.10198551396787e-05,0.00125357983892952,0.0393912796204004
"9563",0.999281155858147,1.74346597029419e-07,0.000190395964233099,0.000528273831022839
"80176",0.34013443659584,0.00479989942958129,0.00151473322349599,0.653550930751083
"84275",0.989102014672962,2.90636770241522e-05,0.00181487526336444,0.00905404638664954
"199953",0.980625879423571,7.84818399888208e-06,0.000234650965103277,0.0191316214273271
"5293",8.07772689625323e-09,0.000338814190525396,1.03811396873568e-10,0.999661177627936
"22883",0.998880957970831,4.95174729804185e-07,0.000407208294863549,0.000711338559575818
"56998",0.738952875915768,0.000114549561390861,0.000212387539509029,0.260720186983332
"84328",0.0109194854374584,0.00038447183196922,3.03497045280749e-06,0.988693007760119
"64802",0.947890775684717,0.000518911827608044,0.00727558408683498,0.0443147284008392
"116362",1.03527800145717e-06,0.000288880611850975,7.39955882200433e-10,0.999710083370192
