"","ensembl_gene_id","gene_version","gene_name","qval"
"357","ENSG00000117834","12","SLC5A9",2.54324e-14
"358","ENSG00000272491","1","RP5-1024N4.4",1.43599e-29
"359","ENSG00000162373","12","BEND5",0.0310402
"360","ENSG00000234080","3","RP11-183G22.1",0.0428622
"361","ENSG00000085831","15","TTC39A",6.44541e-06
"362","ENSG00000085832","16","EPS15",8.17357e-10
"363","ENSG00000117859","18","OSBPL9",0.00147865
"364","ENSG00000078618","21","NRDC",0.00748922
"365","ENSG00000117862","11","TXNDC12",1.29645e-05
"366","ENSG00000154222","14","CC2D1B",1.02756e-05
"367","ENSG00000134748","12","PRPF38A",9.82479e-05
"368","ENSG00000134744","13","ZCCHC11",1.98536e-07
"369","ENSG00000116157","5","GPX7",2.19225e-38
"370","ENSG00000162377","5","COA7",3.72925e-05
"371","ENSG00000162378","12","ZYG11B",0.00698606
"372","ENSG00000121310","16","ECHDC2",1.91103e-05
"373","ENSG00000116171","17","SCP2",0.000702714
"374","ENSG00000162383","11","SLC1A7",0.000848629
"375","ENSG00000157184","6","CPT2",0.0499802
"376","ENSG00000162384","13","C1orf123",1.32295e-08
"377","ENSG00000157193","15","LRP8",0.014641
"378","ENSG00000058799","14","YIPF1",0.00724353
"379","ENSG00000116221","15","MRPL37",1.27204e-08
"380","ENSG00000215883","10","CYB5RL",1.0998e-08
"381","ENSG00000157216","15","SSBP3",8.52512e-13
"382","ENSG00000162390","17","ACOT11",6.97848e-05
"383","ENSG00000184313","19","MROH7",7.66837e-19
"384","ENSG00000243725","6","TTC4",1.95406e-09
"385","ENSG00000162402","13","USP24",4.78934e-06
"386","ENSG00000260971","3","RP11-504A18.1",0.00319596
"387","ENSG00000162407","8","PLPP3",0.00175926
"388","ENSG00000173406","15","DAB1",2.92632e-17
"389","ENSG00000162600","11","OMA1",2.479e-05
"390","ENSG00000162601","9","MYSM1",0.00282773
"391","ENSG00000172456","17","FGGY",0.0196388
"392","ENSG00000134709","10","HOOK1",0.000514696
"393","ENSG00000162604","12","TM2D1",0.000119435
"394","ENSG00000132849","19","PATJ",5.65114e-05
"395","ENSG00000116641","17","DOCK7",0.00476211
"396","ENSG00000125703","14","ATG4C",0.0225863
"397","ENSG00000088035","15","ALG6",0.00103827
"398","ENSG00000203965","12","EFCAB7",2.07203e-08
"399","ENSG00000142856","16","ITGB3BP",3.22583e-84
"400","ENSG00000116652","6","DLEU2L",0.00429482
"401","ENSG00000177414","13","UBE2U",5.4486e-29
"402","ENSG00000162437","14","RAVER2",0.0228182
"403","ENSG00000162433","14","AK4",0.0394892
"404","ENSG00000116675","15","DNAJC6",5.98935e-14
"405","ENSG00000116678","19","LEPR",4.66853e-05
"406","ENSG00000118473","21","SGIP1",1.97687e-31
"407","ENSG00000248458","2","RP4-598P13.1",0.00438714
"408","ENSG00000152760","9","TCTEX1D1",8.22989e-15
"409","ENSG00000152763","16","WDR78",0.0125144
"410","ENSG00000198160","14","MIER1",1.4512e-06
"411","ENSG00000116704","7","SLC35D1",1.02944e-05
"412","ENSG00000172380","5","GNG12",0.000937893
"413","ENSG00000228431","1","ARL5AP3",0.0138122
"414","ENSG00000162595","5","DIRAS3",1.89923e-08
"415","ENSG00000197568","13","HHLA3",3.88515e-05
"416","ENSG00000050628","20","PTGER3",0.00117905
"417","ENSG00000254685","6","FPGT",1.03361e-09
"418","ENSG00000116783","14","TNNI3K",0.000158422
"419","ENSG00000272864","1","RP11-17E13.2",7.05515e-31
"420","ENSG00000116791","13","CRYZ",4.18804e-19
"421","ENSG00000162623","15","TYW3",2.78828e-23
"422","ENSG00000137968","16","SLC44A5",1.18828e-16
"423","ENSG00000117054","13","ACADM",2.74575e-18
"424","ENSG00000181227","3","DLSTP1",8.64425e-05
"425","ENSG00000137955","15","RABGGTB",0.000348883
"426","ENSG00000057468","6","MSH4",1.23779e-15
"427","ENSG00000142892","14","PIGK",0.00123382
"428","ENSG00000077254","14","USP33",0.0416996
"429","ENSG00000180488","14","MIGA1",0.0195609
"430","ENSG00000162614","18","NEXN",0.0214754
"431","ENSG00000162613","16","FUBP1",0.000163758
"432","ENSG00000162616","8","DNAJB4",0.0147879
"433","ENSG00000137941","16","TTLL7",0.0116217
"434","ENSG00000174021","10","GNG5",0.000136039
"435","ENSG00000117151","12","CTBS",2.58396e-05
"436","ENSG00000153898","12","MCOLN2",7.66519e-14
"437","ENSG00000162643","12","WDR63",1.64389e-05
"438","ENSG00000055732","12","MCOLN3",0.000613631
"439","ENSG00000097096","8","SYDE2",0.00487577
"440","ENSG00000117174","10","ZNHIT6",2.78204e-11
"441","ENSG00000171502","14","COL24A1",7.44958e-09
"442","ENSG00000122417","15","ODF2L",1.13398e-11
"443","ENSG00000097033","14","SH3GLB1",0.0245634
"444","ENSG00000183291","15","SELENOF",6.9567e-05
"445","ENSG00000143013","12","LMO4",0.0256552
"446","ENSG00000065243","19","PKN2",0.023664
"447","ENSG00000137944","17","KYAT3",7.5771e-07
"448","ENSG00000117226","11","GBP3",2.53554e-70
"449","ENSG00000234518","2","PTGES3P1",0.00984616
"450","ENSG00000225492","6","GBP1P1",0.0118613
"451","ENSG00000197147","13","LRRC8B",0.000429509
"452","ENSG00000231999","6","FLJ27354",0.0110572
"453","ENSG00000171488","14","LRRC8C",0.00699572
"454","ENSG00000231613","1","RP5-943J3.1",1.37342e-17
"455","ENSG00000233593","8","RP4-665J23.1",0.0115909
"456","ENSG00000162669","15","HFM1",1.43709e-10
"457","ENSG00000097046","12","CDC7",2.27433e-08
"458","ENSG00000069702","10","TGFBR3",0.0067184
"459","ENSG00000069712","12","KIAA1107",0.0214176
"460","ENSG00000122484","8","RPAP2",0.0493204
"461","ENSG00000067208","14","EVI5",0.00268556
"462","ENSG00000154511","11","FAM69A",0.027421
"463","ENSG00000223745","7","CCDC18-AS1",6.04841e-60
"464","ENSG00000117505","12","DR1",1.47442e-08
"465","ENSG00000230439","2","RP11-488P3.1",3.62107e-38
"466","ENSG00000137936","16","BCAR3",0.00162046
"467","ENSG00000260464","1","RP4-561L24.3",0.000945954
"468","ENSG00000117528","11","ABCD3",0.0441816
"469","ENSG00000143036","16","SLC44A3",1.27723e-37
"470","ENSG00000224081","8","SLC44A3-AS1",2.8813e-25
"471","ENSG00000235501","5","RP4-639F20.1",0.000568233
"472","ENSG00000152078","9","TMEM56",7.09705e-08
"473","ENSG00000122481","16","RWDD3",1.21471e-13
"474","ENSG00000228852","6","RP11-57H12.5",1.44998e-06
"475","ENSG00000117569","18","PTBP2",0.0025234
"476","ENSG00000188641","12","DPYD",0.0348164
"477","ENSG00000162627","16","SNX7",1.13538e-05
"478","ENSG00000099260","10","PALMD",0.0347204
"479","ENSG00000223656","1","HMGB3P10",0.00576071
"480","ENSG00000156869","12","FRRS1",0.000124133
"481","ENSG00000162688","16","AGL",0.00305951
"482","ENSG00000156875","13","MFSD14A",0.0266141
