"","probe","entrez","gene","pval.exp","odds.exp","pval.anthr","odds.exp.1","pval.expAnth","odds.expAnth","adjpval"
"223","222183_x_at",53615,"MBD3",0.555858987296989,1.08386875987899,0.00148055551765303,0.309090256407588,0.280402085465766,0.585946109772622,0.649303168005445
"224","201184_s_at",1108,"CHD4",0.324031566831261,0.897840750001605,0.00195922774043644,0.344458019527375,0.289189656242183,0.603533276745351,0.667380442046643
"225","203249_at",2145,"EZH1",0.106072157151192,0.769146594891226,0.00208693289280082,0.329667544655981,0.291050480344244,0.605998520275624,0.667380442046643
"226","32259_at",2145,"EZH1",0.393844435571083,0.914682526666133,0.00171336918940745,0.324514953706597,0.291081283188206,0.611800731852646,0.667380442046643
"227","210322_x_at",7404,"UTY",0.232299475656063,0.856878968790742,0.00110914109319471,0.287210248363272,0.292883997583146,0.574167671759595,0.668143436128145
"228","202261_at",6944,"VPS72",0.468220228016878,0.835651085976962,0.00142214788621053,0.360440286433238,0.294289863545682,1.58970114242577,0.668143436128145
"229","200049_at",11143,"KAT7",0.579700952062677,1.08713873469214,0.00135083045588436,0.263899593670957,0.296572545925776,0.572479352119898,0.66896784631154
"230","215233_at",23210,"JMJD6",0.468453365708103,1.16828226357296,0.00128208240467564,0.301806757695098,0.301325900907964,0.617350020932251,0.671717609833315
"231","201663_s_at",10051,"SMC4",0.42765209941619,1.09992086098135,0.00130491173051284,0.340297885262127,0.302251329159106,1.61929729688332,0.671717609833315
"232","206700_s_at",8284,"KDM5D",0.586578099504146,1.06101897635284,0.00135362534321604,0.331318967659433,0.302774456964209,0.620307461407637,0.671717609833315
"233","204258_at",1105,"CHD1",0.0562305820506022,1.48629377688095,0.00139122207355658,0.331528095589397,0.303130297741878,0.595774323255678,0.671717609833315
"234","213494_s_at",7528,"YY1",0.526063397326003,0.984283169134056,0.00145525286447079,0.307833364815933,0.30357395566355,0.616394731313629,0.671717609833315
"235","206013_s_at",51412,"ACTL6B",0.02213820753423,1.2998916645452,0.00213663195586167,0.272636848970364,0.304590870307798,0.546827837608965,0.671834925963719
"236","205086_s_at",29781,"NCAPH2",0.262573721135293,0.747699672125527,0.00144142227703992,0.369497471618935,0.309912915701124,1.56172211702729,0.678197772913301
